productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,extGTIN,extSKU,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extCardType,extElement,extCost,extPower,extJob,extCategory
245898,Two-Player Starter Set: Avalanche vs Shinra,Two Player Starter Set Avalanche vs Shinra,https://tcgplayer-cdn.tcgplayer.com/product/245898_200w.jpg,24,2888,https://cpt.tcgcsv.com/-m-2,2024-01-04T20:26:27.373,1,None,"Included in the set are two preconstructed decks: the AVALANCHE deck, a Fire/Earth build focusing on the members of the AVALANCHE organization who seek to save the planet; and the SHINRA deck, an Ice/Lightning combo featuring the shadowy figures of the Shinra Electric Power Company who stand in the way of Cloud Strife and his allies.",662248834139,SQE83414,28.0,34.7,35.97,27.03,,Normal,,,,,,,
248112,Rufus,Rufus,https://tcgplayer-cdn.tcgplayer.com/product/248112_200w.jpg,24,2888,https://cpt.tcgcsv.com/gg_2,2021-12-03T15:08:55.787,1,Starter,"<strong>First Strike Brave</strong>
<br><em>Damage 5 —</em> When Rufus enters the field, you may pay IILL2. When you do so, choose any number of <em>Job Member of the Turks</em> with different names in your Break Zone. Play them onto the field.",,,0.74,0.92,1.5,0.92,,Normal,15-140S,Forward,Ice;Lightning,4,9000,President of Shinra,VII
248112,Rufus,Rufus,https://tcgplayer-cdn.tcgplayer.com/product/248112_200w.jpg,24,2888,https://cpt.tcgcsv.com/gg_2,2021-12-03T15:08:55.787,1,Starter,"<strong>First Strike Brave</strong>
<br><em>Damage 5 —</em> When Rufus enters the field, you may pay IILL2. When you do so, choose any number of <em>Job Member of the Turks</em> with different names in your Break Zone. Play them onto the field.",,,1.5,2.65,5.99,2.66,,Foil,15-140S,Forward,Ice;Lightning,4,9000,President of Shinra,VII
248113,Rufus (Full Art),Rufus Full Art,https://tcgplayer-cdn.tcgplayer.com/product/248113_200w.jpg,24,2888,https://cpt.tcgcsv.com/hg_2,2021-10-22T15:11:03.537,1,Starter,"<strong>First Strike Brave</strong>
<br><em>Damage 5 —</em> When Rufus enters the field, you may pay IILL2. When you do so, choose any number of <em>Job Member of the Turks</em> with different names in your Break Zone. Play them onto the field.",,,0.9,1.33,4.99,1.74,,Normal,15-140S,Forward,Ice;Lightning,4,9000,President of Shinra,VII
248119,Cloud,Cloud,https://tcgplayer-cdn.tcgplayer.com/product/248119_200w.jpg,24,2888,https://cpt.tcgcsv.com/pg_2,2021-12-03T15:08:14.757,1,Starter,"When Cloud enters the field, if you control a <em>Job AVALANCHE Operative</em> Forward, select up to 2 of the 3 following actions. ""Choose 1 Forward. Deal it 10000 damage."" ""Choose 1 <em>Job AVALANCHE Operative</em> of cost 4 or less in your Break Zone. Play it onto the field."" ""All the Fowards you control gains <strong>Haste</strong> until the end of the turn.""",,,0.89,0.99,5.0,1.33,,Normal,15-139S,Forward,Earth;Fire,6,8000,Merc,VII
248119,Cloud,Cloud,https://tcgplayer-cdn.tcgplayer.com/product/248119_200w.jpg,24,2888,https://cpt.tcgcsv.com/pg_2,2021-12-03T15:08:14.757,1,Starter,"When Cloud enters the field, if you control a <em>Job AVALANCHE Operative</em> Forward, select up to 2 of the 3 following actions. ""Choose 1 Forward. Deal it 10000 damage."" ""Choose 1 <em>Job AVALANCHE Operative</em> of cost 4 or less in your Break Zone. Play it onto the field."" ""All the Fowards you control gains <strong>Haste</strong> until the end of the turn.""",,,4.84,5.55,12.99,5.09,,Foil,15-139S,Forward,Earth;Fire,6,8000,Merc,VII
248121,Cloud (Full Art),Cloud Full Art,https://tcgplayer-cdn.tcgplayer.com/product/248121_200w.jpg,24,2888,https://cpt.tcgcsv.com/rg_2,2021-10-22T15:10:59.397,1,Starter,"When Cloud enters the field, if you control a <em>Job AVALANCHE Operative</em> Forward, select up to 2 of the 3 following actions. ""Choose 1 Forward. Deal it 10000 damage."" ""Choose 1 <em>Job AVALANCHE Operative</em> of cost 4 or less in your Break Zone. Play it onto the field."" ""All the Fowards you control gains <strong>Haste</strong> until the end of the turn.""",,,0.99,2.0,13.0,1.94,,Normal,15-139S,Forward,Earth;Fire,6,8000,Merc,VII
248122,Reno,Reno,https://tcgplayer-cdn.tcgplayer.com/product/248122_200w.jpg,24,2888,https://cpt.tcgcsv.com/sg_2,2021-12-03T15:08:02.257,1,Starter,"If you control a <em>Job President of Shinra,</em> the <em>Job Member of the Turks</em> Forwards you control gain +1000 power and <strong>First Strike</strong>.
<br>At the beginning of the Attack Phase during each of your turns, if you control 4 or more <em>Job Member of the Turks</em>, all the <em>Job Member of the Turks</em> Forwards you control gain <strongHaste</strong> until the end of the turn.",,,0.25,0.5,10.0,0.48,,Normal,15-138S,Forward,Lightning,3,7000,Member of the Turks,VII
248122,Reno,Reno,https://tcgplayer-cdn.tcgplayer.com/product/248122_200w.jpg,24,2888,https://cpt.tcgcsv.com/sg_2,2021-12-03T15:08:02.257,1,Starter,"If you control a <em>Job President of Shinra,</em> the <em>Job Member of the Turks</em> Forwards you control gain +1000 power and <strong>First Strike</strong>.
<br>At the beginning of the Attack Phase during each of your turns, if you control 4 or more <em>Job Member of the Turks</em>, all the <em>Job Member of the Turks</em> Forwards you control gain <strongHaste</strong> until the end of the turn.",,,1.5,3.16,5.99,3.2,,Foil,15-138S,Forward,Lightning,3,7000,Member of the Turks,VII
248123,Rude,Rude,https://tcgplayer-cdn.tcgplayer.com/product/248123_200w.jpg,24,2888,https://cpt.tcgcsv.com/tg_2,2021-12-03T15:07:52.863,1,Starter,"If you control a <em>Job President of Shinra</em>, The <em>Job Member of the Turks</em> Forwards you control gains +1000 power and <strong>Brave</strong>.
<br>At the beginning of the Attack Phase during each of your turns, if you control 4 or more <em>Job Member of the Turks</em>, <strong>dull</strong> all the Forwards. opponent controls.",,,3.68,4.17,6.0,4.53,,Foil,15-137S,Forward,Lightning,3,7000,Member of the Turks,VII
