productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,extGTIN,extSKU,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extCardType,extElement,extCost,extPower,extJob,extCategory
503030,Dawn of Heroes Booster Box Case,Dawn of Heroes Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/503030_200w.jpg,24,23244,https://cpt.tcgcsv.com/Dd26,2023-07-28T04:03:22.257,1,None,Each sealed case contains 6 booster boxes of 36 booster packs.,662248843803,SQE843797,899.87,899.89,900.0,519.69,,Normal,,,,,,,
503031,Dawn of Heroes Booster Box,Dawn of Heroes Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/503031_200w.jpg,24,23244,https://cpt.tcgcsv.com/Fd26,2023-07-28T04:03:22.257,1,None,Each Dawn of Heroes Booster Box comes with 36 packs of 12 random cards,662248843797,SQE843797,107.99,116.48,165.0,111.62,,Normal,,,,,,,
503032,Dawn of Heroes Booster Pack,Dawn of Heroes Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/503032_200w.jpg,24,23244,https://cpt.tcgcsv.com/Gd26,2023-07-28T04:03:22.257,1,None,Each booster pack contains 12 random cards.,662248843780,SQE843797,4.79,5.99,6.0,4.79,,Normal,,,,,,,
507650,Ardyn,Ardyn,https://tcgplayer-cdn.tcgplayer.com/product/507650_200w.jpg,24,23244,https://cpt.tcgcsv.com/0556,2023-07-28T04:03:22.257,1,Rare,"When Ardyn enters the field, you may put 2 Backups you control into the Break Zone. If you do so, turn over one card at a time from the top of your deck until 2 Characters other than Card Name Ardyn are revealed. Play them onto the field. Then, shuffle the other cards revealed and return them to the bottom of your deck.",,,0.03,0.11,9.99,0.11,,Normal,20-001R,Forward,Fire,5,7000,Chief Minister,XV;DFF
507650,Ardyn,Ardyn,https://tcgplayer-cdn.tcgplayer.com/product/507650_200w.jpg,24,23244,https://cpt.tcgcsv.com/0556,2023-07-28T04:03:22.257,1,Rare,"When Ardyn enters the field, you may put 2 Backups you control into the Break Zone. If you do so, turn over one card at a time from the top of your deck until 2 Characters other than Card Name Ardyn are revealed. Play them onto the field. Then, shuffle the other cards revealed and return them to the bottom of your deck.",,,0.25,0.53,1.99,0.85,,Foil,20-001R,Forward,Fire,5,7000,Chief Minister,XV;DFF
507657,Auron,Auron,https://tcgplayer-cdn.tcgplayer.com/product/507657_200w.jpg,24,23244,https://cpt.tcgcsv.com/9556,2023-07-28T04:03:22.257,1,Hero,"If you control 2 or more Forwards, the cost required to cast Auron is reduced by 2.
<br>At the end of each player's turn, if Auron has received 4000 damage or more, draw 1 card.
<br>0: During this turn, the next damage dealt to you becomes 0 and deal Auron 8000 damage instead. You can only use this ability once per turn.",,,0.18,0.3,29.99,0.29,,Normal,20-002H,Forward,Fire,5,9000,Guardian,X
507657,Auron,Auron,https://tcgplayer-cdn.tcgplayer.com/product/507657_200w.jpg,24,23244,https://cpt.tcgcsv.com/9556,2023-07-28T04:03:22.257,1,Hero,"If you control 2 or more Forwards, the cost required to cast Auron is reduced by 2.
<br>At the end of each player's turn, if Auron has received 4000 damage or more, draw 1 card.
<br>0: During this turn, the next damage dealt to you becomes 0 and deal Auron 8000 damage instead. You can only use this ability once per turn.",,,0.27,0.76,49.99,0.54,,Foil,20-002H,Forward,Fire,5,9000,Guardian,X
507661,Auron (Full Art),Auron Full Art,https://tcgplayer-cdn.tcgplayer.com/product/507661_200w.jpg,24,23244,https://cpt.tcgcsv.com/f556,2023-07-28T04:03:22.257,1,Hero,"If you control 2 or more Forwards, the cost required to cast Auron is reduced by 2.
<br>At the end of each player's turn, if Auron has received 4000 damage or more, draw 1 card.
<br>0: During this turn, the next damage dealt to you becomes 0 and deal Auron 8000 damage instead. You can only use this ability once per turn.",,,17.99,18.97,22.5,20.66,,Foil,20-002H,Forward,Fire,5,9000,Guardian,X
507665,Ifrit,Ifrit,https://tcgplayer-cdn.tcgplayer.com/product/507665_200w.jpg,24,23244,https://cpt.tcgcsv.com/k556,2023-07-28T04:03:22.257,1,Hero,"Select 1 of the 2 following actions. If you control 5 or more Fire Characters, select up to 2 of the 2 following actions instead.
<br>""Choose 1 Forward. Deal it 5000 damage.""
<br>""Choose 1 Forward. Deal it 5000 damage.""",,,0.5,0.82,2.49,1.02,,Foil,20-003H,Summon,Fire,1,,,FFTA
507665,Ifrit,Ifrit,https://tcgplayer-cdn.tcgplayer.com/product/507665_200w.jpg,24,23244,https://cpt.tcgcsv.com/k556,2023-07-28T04:03:22.257,1,Hero,"Select 1 of the 2 following actions. If you control 5 or more Fire Characters, select up to 2 of the 2 following actions instead.
<br>""Choose 1 Forward. Deal it 5000 damage.""
<br>""Choose 1 Forward. Deal it 5000 damage.""",,,0.41,0.49,1.71,0.49,,Normal,20-003H,Summon,Fire,1,,,FFTA
