productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extCardType,extElement,extCost,extPower,extJob,extCategory
257580,Emissaries of Light Booster Box,Emissaries of Light Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/257580_200w.jpg,24,2974,https://cpt.tcgcsv.com/D253,2022-04-15T04:03:08.147,1,None,Each sealed booster box contains 36 booster packs.,80.0,93.0,109.69,85.06,,Normal,,,,,,,
257581,Emissaries of Light Booster Box Case,Emissaries of Light Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/257581_200w.jpg,24,2974,https://cpt.tcgcsv.com/F253,2022-04-15T04:03:08.147,1,None,Each sealed case contains 6 booster boxes of 36 booster packs.,657.05,657.05,657.05,589.59,,Normal,,,,,,,
257582,Emissaries of Light Booster Pack,Emissaries of Light Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/257582_200w.jpg,24,2974,https://cpt.tcgcsv.com/G253,2022-04-15T04:03:08.147,1,None,Each booster pack contains 12 random cards.,4.0,4.99,7.15,4.7,,Normal,,,,,,,
262964,Aerith,Aerith,https://tcgplayer-cdn.tcgplayer.com/product/262964_200w.jpg,24,2974,https://cpt.tcgcsv.com/jc73,2022-04-15T04:03:08.147,1,Legend,"The Forwards other than Aerith you control gain +2000 power.
<br>When Aerith is put from the field into the Break Zone, you may remove Aerith from the game. When you do so, place 3 Reraise Counters on Aerith. At the beginning of Main Phase 1 during each of your turns, if 1 or more Reraise Counters are placed on Aerith, remove 1 Reraise Counter from Aerith. Then, if there are no Reraise Counters on Aerith, play Aerith onto the field. This effect will trigger only if Aerith is removed from the game.",2.22,2.3,5.0,2.56,,Foil,16-067L,Forward,Earth,2,5000,Ancient,VII
262964,Aerith,Aerith,https://tcgplayer-cdn.tcgplayer.com/product/262964_200w.jpg,24,2974,https://cpt.tcgcsv.com/jc73,2022-04-15T04:03:08.147,1,Legend,"The Forwards other than Aerith you control gain +2000 power.
<br>When Aerith is put from the field into the Break Zone, you may remove Aerith from the game. When you do so, place 3 Reraise Counters on Aerith. At the beginning of Main Phase 1 during each of your turns, if 1 or more Reraise Counters are placed on Aerith, remove 1 Reraise Counter from Aerith. Then, if there are no Reraise Counters on Aerith, play Aerith onto the field. This effect will trigger only if Aerith is removed from the game.",1.33,1.51,3.0,1.39,,Normal,16-067L,Forward,Earth,2,5000,Ancient,VII
263266,Luso,Luso,https://tcgplayer-cdn.tcgplayer.com/product/263266_200w.jpg,24,2974,https://cpt.tcgcsv.com/lk73,2022-04-19T15:14:05.793,1,Legend,"At the beginning of the Attack Phase during each of your turns, if you have received 5 points of damage or less, shuffle your deck, then reveal the top card of your deck. If it is a Fire Character, you may play it onto the field.
<br><em>Damage 6</em> — At the beginning of the Attack Phase during each of your turns, you may <strong>search</strong> for 1 Fire Character and play it onto the field.",1.45,1.96,13.99,1.62,,Foil,16-020L,Forward,Fire,6,5000,Clan Gully Member,FFTA2
263266,Luso,Luso,https://tcgplayer-cdn.tcgplayer.com/product/263266_200w.jpg,24,2974,https://cpt.tcgcsv.com/lk73,2022-04-19T15:14:05.793,1,Legend,"At the beginning of the Attack Phase during each of your turns, if you have received 5 points of damage or less, shuffle your deck, then reveal the top card of your deck. If it is a Fire Character, you may play it onto the field.
<br><em>Damage 6</em> — At the beginning of the Attack Phase during each of your turns, you may <strong>search</strong> for 1 Fire Character and play it onto the field.",0.59,1.12,4.99,1.05,,Normal,16-020L,Forward,Fire,6,5000,Clan Gully Member,FFTA2
264274,Byblos,Byblos,https://tcgplayer-cdn.tcgplayer.com/product/264274_200w.jpg,24,2974,https://cpt.tcgcsv.com/vK73,2022-04-15T04:03:08.147,1,Hero,"When your opponent discards 1 or more cards from their hand due to your Summons or abilities, choose 1 Forward opponent controls. Dull it and Freeze it.
<br><em>Damage 3</em> — 0: Until the end of the turn, Byblos also becomes a Forward with 7000 power and ""When Byblos attacks, your opponent discards 1 card from their hand."" You can only use this ability once per turn.",1.17,1.73,2.99,1.79,,Normal,16-038H,Monster,Ice,2,7000,Evil Spirit,V
264274,Byblos,Byblos,https://tcgplayer-cdn.tcgplayer.com/product/264274_200w.jpg,24,2974,https://cpt.tcgcsv.com/vK73,2022-04-15T04:03:08.147,1,Hero,"When your opponent discards 1 or more cards from their hand due to your Summons or abilities, choose 1 Forward opponent controls. Dull it and Freeze it.
<br><em>Damage 3</em> — 0: Until the end of the turn, Byblos also becomes a Forward with 7000 power and ""When Byblos attacks, your opponent discards 1 card from their hand."" You can only use this ability once per turn.",4.49,6.99,7.0,4.32,,Foil,16-038H,Monster,Ice,2,7000,Evil Spirit,V
264836,Emissaries of Light Prerelease Kit,Emissaries of Light Prerelease Kit,https://tcgplayer-cdn.tcgplayer.com/product/264836_200w.jpg,24,2974,https://cpt.tcgcsv.com/LX73,2022-04-15T04:03:08.147,1,None,"Each Emissaries of Light Prerelease Kit contains:
<br>• 9 Emissaries of Light booster packs
<br>• 1 prerelease promo
<br>• 1 pack of sleeves",38.0,50.0,52.99,44.78,,Normal,,,,,,,
265285,Tidus,Tidus,https://tcgplayer-cdn.tcgplayer.com/product/265285_200w.jpg,24,2974,https://cpt.tcgcsv.com/K783,2022-04-15T04:03:08.147,1,Legend,"Tidus cannot be blocked.
<br>When Tidus is put from the field into its owner's deck, draw 3 cards.
<br>When Tidus is chosen by your opponent's Summons or Abilities, you may put Tidus at the bottom of its owner's deck. When you do so, choose 1 Forward opponent controls. Put it at the bottom of its owner's deck.",5.18,9.49,15.99,7.24,,Foil,16-116L,Forward,Water,3,7000,Guardian,X;DFF
265285,Tidus,Tidus,https://tcgplayer-cdn.tcgplayer.com/product/265285_200w.jpg,24,2974,https://cpt.tcgcsv.com/K783,2022-04-15T04:03:08.147,1,Legend,"Tidus cannot be blocked.
<br>When Tidus is put from the field into its owner's deck, draw 3 cards.
<br>When Tidus is chosen by your opponent's Summons or Abilities, you may put Tidus at the bottom of its owner's deck. When you do so, choose 1 Forward opponent controls. Put it at the bottom of its owner's deck.",4.24,5.97,16.0,5.09,,Normal,16-116L,Forward,Water,3,7000,Guardian,X;DFF
265286,Tidus (Full Art),Tidus Full Art,https://tcgplayer-cdn.tcgplayer.com/product/265286_200w.jpg,24,2974,https://cpt.tcgcsv.com/L783,2023-12-12T20:33:26.077,1,Legend,"Tidus cannot be blocked.
<br>When Tidus is put from the field into its owner's deck, draw 3 cards.
<br>When Tidus is chosen by your opponent's Summons or Abilities, you may put Tidus at the bottom of its owner's deck. When you do so, choose 1 Forward opponent controls. Put it at the bottom of its owner's deck.",8.0,8.49,9.5,6.77,,Normal,16-116L,Forward,Water,3,7000,Guardian,X;DFF
265286,Tidus (Full Art),Tidus Full Art,https://tcgplayer-cdn.tcgplayer.com/product/265286_200w.jpg,24,2974,https://cpt.tcgcsv.com/L783,2023-12-12T20:33:26.077,1,Legend,"Tidus cannot be blocked.
<br>When Tidus is put from the field into its owner's deck, draw 3 cards.
<br>When Tidus is chosen by your opponent's Summons or Abilities, you may put Tidus at the bottom of its owner's deck. When you do so, choose 1 Forward opponent controls. Put it at the bottom of its owner's deck.",55.99,59.93,62.03,62.22,,Foil,16-116L,Forward,Water,3,7000,Guardian,X;DFF
265425,Kirin,Kirin,https://tcgplayer-cdn.tcgplayer.com/product/265425_200w.jpg,24,2974,https://cpt.tcgcsv.com/wb83,2022-04-15T04:03:08.147,1,Legend,"<strong>Brave</strong>
<br>Kirin cannot become <strong>dull</strong> by your opponent's Summons or abilities.
<br>The <em>Job Shijin</em> Forwards you control gain +1000 power.
<br>When Kirin enters the field, reveal the top 5 cards of your deck. Play 1 Forward of cost 4 among them onto the field and return the other cards to the bottom of your deck in any order.",0.99,1.37,5.0,1.34,,Normal,16-070L,Forward,Earth,6,9000,Kirin,XI
265425,Kirin,Kirin,https://tcgplayer-cdn.tcgplayer.com/product/265425_200w.jpg,24,2974,https://cpt.tcgcsv.com/wb83,2022-04-15T04:03:08.147,1,Legend,"<strong>Brave</strong>
<br>Kirin cannot become <strong>dull</strong> by your opponent's Summons or abilities.
<br>The <em>Job Shijin</em> Forwards you control gain +1000 power.
<br>When Kirin enters the field, reveal the top 5 cards of your deck. Play 1 Forward of cost 4 among them onto the field and return the other cards to the bottom of your deck in any order.",1.99,2.0,5.0,3.08,,Foil,16-070L,Forward,Earth,6,9000,Kirin,XI
265426,Kirin (Full Art),Kirin Full Art,https://tcgplayer-cdn.tcgplayer.com/product/265426_200w.jpg,24,2974,https://cpt.tcgcsv.com/xb83,2022-04-15T04:03:08.147,1,Legend,"<strong>Brave</strong>
<br>Kirin cannot become <strong>dull</strong> by your opponent's Summons or abilities.
<br>The <em>Job Shijin</em> Forwards you control gain +1000 power.
<br>When Kirin enters the field, reveal the top 5 cards of your deck. Play 1 Forward of cost 4 among them onto the field and return the other cards to the bottom of your deck in any order.",19.73,19.87,22.99,18.23,,Foil,16-070L,Forward,Earth,6,9000,Kirin,XI
265427,Suzaku EX,Suzaku EX,https://tcgplayer-cdn.tcgplayer.com/product/265427_200w.jpg,24,2974,https://cpt.tcgcsv.com/zb83,2022-04-25T15:53:08.377,1,Rare,"If you have a <em>Job Shijin</em> in your Break Zone, the cost required to cast Suzaku can be paid with CP of any element.
<br><strong>EX BURST</strong> When Suzaku enters the field, you may search for 1 <em>Job Shijin</em> Forward other than <em>Card Name Suzaku</em> and add it to your hand.
<br>When Suzaku attacks, choose 1 Forward opponent controls. Deal it 5000 damage.",0.04,0.1,0.99,0.07,,Normal,16-012R,Forward,Fire,4,7000,Shijin,XI
265427,Suzaku EX,Suzaku EX,https://tcgplayer-cdn.tcgplayer.com/product/265427_200w.jpg,24,2974,https://cpt.tcgcsv.com/zb83,2022-04-25T15:53:08.377,1,Rare,"If you have a <em>Job Shijin</em> in your Break Zone, the cost required to cast Suzaku can be paid with CP of any element.
<br><strong>EX BURST</strong> When Suzaku enters the field, you may search for 1 <em>Job Shijin</em> Forward other than <em>Card Name Suzaku</em> and add it to your hand.
<br>When Suzaku attacks, choose 1 Forward opponent controls. Deal it 5000 damage.",0.25,0.76,1.5,1.0,,Foil,16-012R,Forward,Fire,4,7000,Shijin,XI
265429,Seiryu EX,Seiryu EX,https://tcgplayer-cdn.tcgplayer.com/product/265429_200w.jpg,24,2974,https://cpt.tcgcsv.com/Cb83,2022-04-25T15:52:26.373,1,Rare,"If you have a <em>Job Shijin</em> in your Break Zone, the cost required to cast Seiryu can be paid with CP of any element.
<br><strong>EX BURST</strong> When Seiryu enters the field, you may search for 1 <em>Job Shijin</em> Forward other than <em>Card Name Seiryu</em> and add it to your hand.
<br>Seiryu cannot be chosen by your opponent's abilities.",0.05,0.55,1.1,1.0,,Foil,16-049R,Forward,Wind,4,7000,Shijin,XI
265429,Seiryu EX,Seiryu EX,https://tcgplayer-cdn.tcgplayer.com/product/265429_200w.jpg,24,2974,https://cpt.tcgcsv.com/Cb83,2022-04-25T15:52:26.373,1,Rare,"If you have a <em>Job Shijin</em> in your Break Zone, the cost required to cast Seiryu can be paid with CP of any element.
<br><strong>EX BURST</strong> When Seiryu enters the field, you may search for 1 <em>Job Shijin</em> Forward other than <em>Card Name Seiryu</em> and add it to your hand.
<br>Seiryu cannot be chosen by your opponent's abilities.",0.03,0.15,0.99,0.1,,Normal,16-049R,Forward,Wind,4,7000,Shijin,XI
265430,Byakko EX,Byakko EX,https://tcgplayer-cdn.tcgplayer.com/product/265430_200w.jpg,24,2974,https://cpt.tcgcsv.com/Db83,2022-04-25T15:50:45.06,1,Rare,"If you have a <em>Job Shijin</em> in your Break Zone, the cost required to cast Seiryu can be paid with CP of any element.
<br><strong>EX BURST</strong> When Byakko enters the field, you may search for 1 <em>Job Shijin</em> Forward other than <em>Card Name Byakko</em> and add it to your hand.
<br>When Byakko attacks, choose 1 Forward. Dull it.",0.1,0.5,1.1,0.52,,Foil,16-096R,Forward,Wind,4,7000,Shijin,XI
265430,Byakko EX,Byakko EX,https://tcgplayer-cdn.tcgplayer.com/product/265430_200w.jpg,24,2974,https://cpt.tcgcsv.com/Db83,2022-04-25T15:50:45.06,1,Rare,"If you have a <em>Job Shijin</em> in your Break Zone, the cost required to cast Seiryu can be paid with CP of any element.
<br><strong>EX BURST</strong> When Byakko enters the field, you may search for 1 <em>Job Shijin</em> Forward other than <em>Card Name Byakko</em> and add it to your hand.
<br>When Byakko attacks, choose 1 Forward. Dull it.",0.02,0.1,0.99,0.08,,Normal,16-096R,Forward,Wind,4,7000,Shijin,XI
265431,Genbu EX,Genbu EX,https://tcgplayer-cdn.tcgplayer.com/product/265431_200w.jpg,24,2974,https://cpt.tcgcsv.com/Fb83,2022-04-25T15:52:08.07,1,Rare,"If you have a <em>Job Shijin</em> in your Break Zone, the cost required to cast Genbu can be paid with CP of any element.
<br><strong>EX BURST</strong> When Genbu enters the field, you may search for 1 <em>Job Shijin</em> Forward other than <em>Card Name Genbu</em> and add it to your hand.
<br>If Genbu is dealt damage, reduce the damage by 3000 instead.",0.15,0.25,1.49,0.75,,Foil,16-111R,Forward,Water,4,7000,Shijin,XI
265431,Genbu EX,Genbu EX,https://tcgplayer-cdn.tcgplayer.com/product/265431_200w.jpg,24,2974,https://cpt.tcgcsv.com/Fb83,2022-04-25T15:52:08.07,1,Rare,"If you have a <em>Job Shijin</em> in your Break Zone, the cost required to cast Genbu can be paid with CP of any element.
<br><strong>EX BURST</strong> When Genbu enters the field, you may search for 1 <em>Job Shijin</em> Forward other than <em>Card Name Genbu</em> and add it to your hand.
<br>If Genbu is dealt damage, reduce the damage by 3000 instead.",0.03,0.1,0.99,0.07,,Normal,16-111R,Forward,Water,4,7000,Shijin,XI
265432,Black Waltz 1,Black Waltz 1,https://tcgplayer-cdn.tcgplayer.com/product/265432_200w.jpg,24,2974,https://cpt.tcgcsv.com/Gb83,2022-04-15T04:03:08.147,1,Common,"When Black Waltz 1 is discarded from your hand due to an ability, choose 1 Forward. Deal it 4000 damage.
<br>0: Discard 1 <em>Job Black Mage</em> from your hand. When you do so, choose 1 dull Forward opponent controls. Deal it 7000 damage.",0.24,0.34,1.0,0.36,,Foil,16-027C,Forward,Ice,3,7000,Black Mage,IX
