productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,extGTIN,extSKU,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extCardType,extElement,extCost,extPower,extJob,extCategory
477186,From Nightmares Booster Box Case,From Nightmares Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/477186_200w.jpg,24,22891,https://cpt.tcgcsv.com/LTQ5,2023-03-24T04:03:12.477,1,None,Each sealed case contains 6 booster boxes of 36 booster packs.,662248843766,SQE843759,649.99,756.0,1000.0,,,Normal,,,,,,,
477187,From Nightmares Booster Box,From Nightmares Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/477187_200w.jpg,24,22891,https://cpt.tcgcsv.com/MTQ5,2023-03-24T04:03:12.477,1,None,Each sealed booster box contains 36 booster packs.,662248843759,SQE843759,107.69,121.48,165.0,115.92,,Normal,,,,,,,
477188,From Nightmares Booster Pack,From Nightmares Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/477188_200w.jpg,24,22891,https://cpt.tcgcsv.com/NTQ5,2023-03-24T04:03:12.477,1,None,Each booster pack contains 12 random cards.,662248843742,SQE843759,5.17,6.49,6.49,5.17,,Normal,,,,,,,
477189,Custom Starter Set: Final Fantasy XIII,Custom Starter Set Final Fantasy XIII,https://tcgplayer-cdn.tcgplayer.com/product/477189_200w.jpg,24,22891,https://cpt.tcgcsv.com/PTQ5,2023-03-17T19:05:45.563,1,None,"“Custom Starter Set FINAL FANTASY XIII” is the second release in the “Custom Starter Set” series, which includes one 50-card deck, along with 50 customization cards for players to experience the fun of customizing their own deck.
<br> Contents:            
<br> Preconstructed Deck: 50 cards
<br> Cards for Customization: 50 cards
<br> Rules Sheet: 1
<br> Deck Customization Guide: 1",662248843704,SQE843711,35.0,39.98,40.0,38.18,,Normal,,,,,,,
479974,"Susano, Lord of the Revel (January 2023)",Susano Lord of the Revel January 2023,https://tcgplayer-cdn.tcgplayer.com/product/479974_200w.jpg,24,22891,https://cpt.tcgcsv.com/v_R5,2023-01-27T17:44:57.81,0,Promo,"<strong>Haste</strong>
<br>If a Forward damaged by Susano, Lord of the Revel is put from the field into the Break Zone on the same turn, remove it from the game instead.
<br>When Susano, Lord of the Revel enters the field, select 1 Backup you control. You may put it into the Break Zone. When you do so, deal 9000 damage to all the Forwards other than Susano, Lord of the Revel.",,,6.9,7.26,8.0,7.33,,Foil,14-011H,Forward,Fire,6,8000,Primal,XIV
479974,"Susano, Lord of the Revel (January 2023)",Susano Lord of the Revel January 2023,https://tcgplayer-cdn.tcgplayer.com/product/479974_200w.jpg,24,22891,https://cpt.tcgcsv.com/v_R5,2023-01-27T17:44:57.81,0,Promo,"<strong>Haste</strong>
<br>If a Forward damaged by Susano, Lord of the Revel is put from the field into the Break Zone on the same turn, remove it from the game instead.
<br>When Susano, Lord of the Revel enters the field, select 1 Backup you control. You may put it into the Break Zone. When you do so, deal 9000 damage to all the Forwards other than Susano, Lord of the Revel.",,,0.24,0.9,3.67,0.71,,Normal,14-011H,Forward,Fire,6,8000,Primal,XIV
488628,From Nightmares Prerelease Kit,From Nightmares Prerelease Kit,https://tcgplayer-cdn.tcgplayer.com/product/488628_200w.jpg,24,22891,https://cpt.tcgcsv.com/BsW5,2023-03-17T16:39:02.063,1,None,"Each From Nightmares Prerelease Kit contains:
<br>• 9 From Nightmares booster packs
<br>• 1 prerelease promo
<br>• 1 pack of sleeves",,,59.99,59.99,59.99,56.27,,Normal,,,,,,,
488704,Custom Starter Set Display: Final Fantasy XIII,Custom Starter Set Display Final Fantasy XIII,https://tcgplayer-cdn.tcgplayer.com/product/488704_200w.jpg,24,22891,https://cpt.tcgcsv.com/6vW5,2023-03-17T19:14:08.833,1,None,Each display contains 6 Two-Player Starter Sets.,662248843711,SQE843711,235.0,236.0,237.0,,,Normal,,,,,,,
488819,Ifrit,Ifrit,https://tcgplayer-cdn.tcgplayer.com/product/488819_200w.jpg,24,22891,https://cpt.tcgcsv.com/pxW5,2023-03-24T04:03:12.477,1,Rare,"If a Fire Forward has entered your field this turn, the cost required to cast Ifrit is reduced by 3.
<br>Choose 1 Forward. Deal it 7000 damage.",,,0.44,0.8,3.5,0.64,,Foil,19-001R,Summon,Fire,3,,,IX
488819,Ifrit,Ifrit,https://tcgplayer-cdn.tcgplayer.com/product/488819_200w.jpg,24,22891,https://cpt.tcgcsv.com/pxW5,2023-03-24T04:03:12.477,1,Rare,"If a Fire Forward has entered your field this turn, the cost required to cast Ifrit is reduced by 3.
<br>Choose 1 Forward. Deal it 7000 damage.",,,0.03,0.14,0.99,0.1,,Normal,19-001R,Summon,Fire,3,,,IX
