productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extCardType,extElement,extCost,extJob,extCategory,extPower
133560,Opus III Booster Box,Opus III Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/133560_200w.jpg,24,1946,https://cpt.tcgcsv.com/dr52,2017-08-18T20:06:02.287,1,None,"From the multi-million selling FINAL FANTASY franchise comes a brand new trading card experience! This 2-player game has even more cards for you to collect in the Opus III collection, the latest set of FINAL FANTASY TRADING CARDS to be released to the Western market.
<br>
<br>Each individual Booster pack includes: 
<br>• 12 cards total 
<br>• 1 premium foiled card
<br>
<br>36 packs per Booster display.",84.0,88.5,134.99,87.99,,Normal,,,,,,,
133562,Opus III Booster Pack,Opus III Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/133562_200w.jpg,24,1946,https://cpt.tcgcsv.com/gr52,2017-08-18T20:05:53.417,1,None,"Booster pack includes: 
<br>
<br>• 12 cards total 
<br>• 1 premium foiled card",5.95,7.25,10.99,6.66,,Normal,,,,,,,
133564,Final Fantasy Type-0 Starter Set,Final Fantasy Type 0 Starter Set,https://tcgplayer-cdn.tcgplayer.com/product/133564_200w.jpg,24,1946,https://cpt.tcgcsv.com/jr52,2017-06-16T12:10:37.837,1,None,"Contains a 50 card deck from the Lightning and Wind Elements, quick-start guide and playmat.
<br>
Contains cards from the Final Fantasy TYPE-0 game.",14.99,19.99,20.99,,,Normal,,,,,,,
133565,Final Fantasy IX Starter Set,Final Fantasy IX Starter Set,https://tcgplayer-cdn.tcgplayer.com/product/133565_200w.jpg,24,1946,https://cpt.tcgcsv.com/kr52,2017-06-16T12:10:23.013,1,None,"Contains a 50 card deck from the Fire and Water Elements, quick-start guide and playmat.
<Br>
Contains cards from the Final Fantasy IX game.",14.5,19.99,20.49,16.75,,Normal,,,,,,,
137385,Mog (IX),Mog IX,https://tcgplayer-cdn.tcgplayer.com/product/137385_200w.jpg,24,1946,https://cpt.tcgcsv.com/KZ62,2017-07-19T13:34:06.027,1,Common,"When Mog (IX) enters the field, if you control <em>Card Name Eiko</e>, draw 1 card.
<br>[U][U][1][Dull], put Mog (IX) into the Break Zone: Choose 1 Forward. Return it to its owners hand.",0.04,0.13,0.99,0.1,,Normal,3-141C,Backup,Water,3,Moogle,IX,
137385,Mog (IX),Mog IX,https://tcgplayer-cdn.tcgplayer.com/product/137385_200w.jpg,24,1946,https://cpt.tcgcsv.com/KZ62,2017-07-19T13:34:06.027,1,Common,"When Mog (IX) enters the field, if you control <em>Card Name Eiko</e>, draw 1 card.
<br>[U][U][1][Dull], put Mog (IX) into the Break Zone: Choose 1 Forward. Return it to its owners hand.",0.95,1.0,1.5,1.25,,Foil,3-141C,Backup,Water,3,Moogle,IX,
137386,Artemicion,Artemicion,https://tcgplayer-cdn.tcgplayer.com/product/137386_200w.jpg,24,1946,https://cpt.tcgcsv.com/LZ62,2017-07-19T13:29:50.683,1,Common,"When Artemicion enters the field, place any number of cards from your hand at the bottom of your deck in any order. Then, draw the same number of cards.",2.82,3.2,8.6,2.69,,Foil,3-122C,Backup,Water,2,Moogle,IX,
137386,Artemicion,Artemicion,https://tcgplayer-cdn.tcgplayer.com/product/137386_200w.jpg,24,1946,https://cpt.tcgcsv.com/LZ62,2017-07-19T13:29:50.683,1,Common,"When Artemicion enters the field, place any number of cards from your hand at the bottom of your deck in any order. Then, draw the same number of cards.",0.03,0.17,0.99,0.13,,Normal,3-122C,Backup,Water,2,Moogle,IX,
137387,Eiko (3-127R),Eiko 3 127R,https://tcgplayer-cdn.tcgplayer.com/product/137387_200w.jpg,24,1946,https://cpt.tcgcsv.com/MZ62,2017-07-19T19:59:01.78,1,Rare,"When Eiko enters the field, you may <strong>search</strong> for 1 <em>Category IX</em> Forward and add it to your hand.",0.74,0.77,5.0,1.04,,Foil,3-127R,Backup,Water,3,Summoner,IX,
137387,Eiko (3-127R),Eiko 3 127R,https://tcgplayer-cdn.tcgplayer.com/product/137387_200w.jpg,24,1946,https://cpt.tcgcsv.com/MZ62,2017-07-19T19:59:01.78,1,Rare,"When Eiko enters the field, you may <strong>search</strong> for 1 <em>Category IX</em> Forward and add it to your hand.",0.02,0.15,0.99,0.12,,Normal,3-127R,Backup,Water,3,Summoner,IX,
137388,Garnet (Starter),Garnet Starter,https://tcgplayer-cdn.tcgplayer.com/product/137388_200w.jpg,24,1946,https://cpt.tcgcsv.com/NZ62,2017-07-19T13:36:56.743,1,Starter,"When Garnet enters the field, you may <strong>search</strong> for 1 Water Summon with a cost of 2 or less and cast it without paying the cost. If you do not cast it, put the Summon into the Break Zone.",2.99,3.2,3.5,3.32,,Foil,3-152S,Forward,Water,3,Princess,IX,5000
137388,Garnet (Starter),Garnet Starter,https://tcgplayer-cdn.tcgplayer.com/product/137388_200w.jpg,24,1946,https://cpt.tcgcsv.com/NZ62,2017-07-19T13:36:56.743,1,Starter,"When Garnet enters the field, you may <strong>search</strong> for 1 Water Summon with a cost of 2 or less and cast it without paying the cost. If you do not cast it, put the Summon into the Break Zone.",0.21,0.27,0.5,0.25,,Normal,3-152S,Forward,Water,3,Princess,IX,5000
137389,Steiner EX,Steiner EX,https://tcgplayer-cdn.tcgplayer.com/product/137389_200w.jpg,24,1946,https://cpt.tcgcsv.com/PZ62,2017-07-19T13:32:57.73,1,Rare,"<strong>EX BURST</strong> When Steiner enters the field, you may <strong>search</strong> for 1 <em>Category IX</em> Character and add it to your hand.
<br>If you control a <em>Category IX</em> Character other than Steiner, Steiner gains +1000 power.",0.51,0.68,5.0,0.7,,Foil,3-137R,Forward,Water,5,Knight,IX,6000
137389,Steiner EX,Steiner EX,https://tcgplayer-cdn.tcgplayer.com/product/137389_200w.jpg,24,1946,https://cpt.tcgcsv.com/PZ62,2017-07-19T13:32:57.73,1,Rare,"<strong>EX BURST</strong> When Steiner enters the field, you may <strong>search</strong> for 1 <em>Category IX</em> Character and add it to your hand.
<br>If you control a <em>Category IX</em> Character other than Steiner, Steiner gains +1000 power.",0.03,0.24,0.99,0.12,,Normal,3-137R,Forward,Water,5,Knight,IX,6000
137391,Zidane (Starter),Zidane Starter,https://tcgplayer-cdn.tcgplayer.com/product/137391_200w.jpg,24,1946,https://cpt.tcgcsv.com/RZ62,2017-07-19T13:37:31.607,1,Starter,"If you control a <em>Category IX</em> Forward, the cost for playing Zidane onto the field is reduced by 1.
<br>When Zidane enters the field, select 1 of the following actions. ""Draw 1 card."" ""Your opponent discards 1 card from his/her hand."" ""<strong>Activate</strong> all <em>Category IX</em> Characters you control.""",0.6,0.97,5.0,0.96,,Foil,3-154S,Forward,Light,3,Genome,IX,7000
137391,Zidane (Starter),Zidane Starter,https://tcgplayer-cdn.tcgplayer.com/product/137391_200w.jpg,24,1946,https://cpt.tcgcsv.com/RZ62,2017-07-19T13:37:31.607,1,Starter,"If you control a <em>Category IX</em> Forward, the cost for playing Zidane onto the field is reduced by 1.
<br>When Zidane enters the field, select 1 of the following actions. ""Draw 1 card."" ""Your opponent discards 1 card from his/her hand."" ""<strong>Activate</strong> all <em>Category IX</em> Characters you control.""",0.25,0.39,0.6,0.39,,Normal,3-154S,Forward,Light,3,Genome,IX,7000
137392,Ace (Starter),Ace Starter,https://tcgplayer-cdn.tcgplayer.com/product/137392_200w.jpg,24,1946,https://cpt.tcgcsv.com/SZ62,2017-07-19T13:37:15.577,1,Starter,"When Ace enters the field, you may play 1 <em>Job Class Zero Cadet</em> Forward from your hand onto the field. When Ace is put from the field into the Break Zone, choose 1 <em>Job Class Zero Cadet</em> Forward other than <em>Card Name Ace</em> from your Break Zone. Add it to your hand.",0.25,0.41,1.05,0.26,,Normal,3-153S,Forward,Light,6,Class Zero Cadet,Type-0,7000
137392,Ace (Starter),Ace Starter,https://tcgplayer-cdn.tcgplayer.com/product/137392_200w.jpg,24,1946,https://cpt.tcgcsv.com/SZ62,2017-07-19T13:37:15.577,1,Starter,"When Ace enters the field, you may play 1 <em>Job Class Zero Cadet</em> Forward from your hand onto the field. When Ace is put from the field into the Break Zone, choose 1 <em>Job Class Zero Cadet</em> Forward other than <em>Card Name Ace</em> from your Break Zone. Add it to your hand.",0.65,0.86,3.99,0.74,,Foil,3-153S,Forward,Light,6,Class Zero Cadet,Type-0,7000
137394,Queen EX (Starter),Queen EX Starter,https://tcgplayer-cdn.tcgplayer.com/product/137394_200w.jpg,24,1946,https://cpt.tcgcsv.com/VZ62,2017-07-19T13:36:39.72,1,Starter,"<strong>EX BURST</strong> When Queen enters the field, choose 1 Forward opponent controls. If you control 2 or more <em>Job Class Zero Cadet</em> Forwards, <strong>Dull</strong> it. If you control 5 or more <em>Job Class Zero Cadet</em> Forwards, break it instead.",0.15,0.25,0.4,0.26,,Normal,3-151S,Forward,Lightning,2,Class Zero Cadet,Type-0,4000
137394,Queen EX (Starter),Queen EX Starter,https://tcgplayer-cdn.tcgplayer.com/product/137394_200w.jpg,24,1946,https://cpt.tcgcsv.com/VZ62,2017-07-19T13:36:39.72,1,Starter,"<strong>EX BURST</strong> When Queen enters the field, choose 1 Forward opponent controls. If you control 2 or more <em>Job Class Zero Cadet</em> Forwards, <strong>Dull</strong> it. If you control 5 or more <em>Job Class Zero Cadet</em> Forwards, break it instead.",0.65,0.81,1.0,0.68,,Foil,3-151S,Forward,Lightning,2,Class Zero Cadet,Type-0,4000
137395,Sice,Sice,https://tcgplayer-cdn.tcgplayer.com/product/137395_200w.jpg,24,1946,https://cpt.tcgcsv.com/WZ62,2017-07-19T13:28:37.037,1,Common,"When Sice attacks, choose 1 Forward opponent controls. Until the end of the turn, it loses 1000 power for each <em>Job Class Zero Cadet</em> Character you control.
<br><strong>Black Hole</strong>[S][P]: Choose 1 Forward. Until the end of the turn, it loses 4000 power.",0.9,1.0,2.6,1.02,,Foil,3-109C,Forward,Lightning,2,Class Zero Cadet,Type-0,5000
137395,Sice,Sice,https://tcgplayer-cdn.tcgplayer.com/product/137395_200w.jpg,24,1946,https://cpt.tcgcsv.com/WZ62,2017-07-19T13:28:37.037,1,Common,"When Sice attacks, choose 1 Forward opponent controls. Until the end of the turn, it loses 1000 power for each <em>Job Class Zero Cadet</em> Character you control.
<br><strong>Black Hole</strong>[S][P]: Choose 1 Forward. Until the end of the turn, it loses 4000 power.",0.05,0.14,0.99,0.14,,Normal,3-109C,Forward,Lightning,2,Class Zero Cadet,Type-0,5000
137397,Diablos EX,Diablos EX,https://tcgplayer-cdn.tcgplayer.com/product/137397_200w.jpg,24,1946,https://cpt.tcgcsv.com/ZZ62,2017-07-19T13:16:23.43,1,Rare,"<strong>EX BURST</strong> Choose 1 Forward. Deal it 1000 damage for each Character you control. If you control a <em>Job Class Zero Cadet</em> Forward, select up to 3 Backups you control. <strong>Activate</strong> them.",0.5,0.74,1.0,0.77,,Foil,3-061R,Summon,Wind,3,,Type-0,
137397,Diablos EX,Diablos EX,https://tcgplayer-cdn.tcgplayer.com/product/137397_200w.jpg,24,1946,https://cpt.tcgcsv.com/ZZ62,2017-07-19T13:16:23.43,1,Rare,"<strong>EX BURST</strong> Choose 1 Forward. Deal it 1000 damage for each Character you control. If you control a <em>Job Class Zero Cadet</em> Forward, select up to 3 Backups you control. <strong>Activate</strong> them.",0.05,0.18,7.76,0.12,,Normal,3-061R,Summon,Wind,3,,Type-0,
137398,Moogle (Class Zero) (Starter),Moogle Class Zero Starter,https://tcgplayer-cdn.tcgplayer.com/product/137398_200w.jpg,24,1946,https://cpt.tcgcsv.com/-Z62,2017-07-19T13:36:23.783,1,Starter,The <em>Job Class Zero Cadet</em> Forwards you control gain +1000 power.,0.25,0.35,1.05,0.32,,Normal,3-150S,Backup,Wind,3,Moogle,Type-0,
137398,Moogle (Class Zero) (Starter),Moogle Class Zero Starter,https://tcgplayer-cdn.tcgplayer.com/product/137398_200w.jpg,24,1946,https://cpt.tcgcsv.com/-Z62,2017-07-19T13:36:23.783,1,Starter,The <em>Job Class Zero Cadet</em> Forwards you control gain +1000 power.,0.75,0.88,2.5,1.1,,Foil,3-150S,Backup,Wind,3,Moogle,Type-0,
137399,Seven,Seven,https://tcgplayer-cdn.tcgplayer.com/product/137399_200w.jpg,24,1946,https://cpt.tcgcsv.com/_Z62,2017-07-19T13:16:03.35,1,Rare,"The <em>Job Class Zero Cadet</em> Forwards you control cannot be blocked by a Forward of cost 4 or more.
<br><strong>Snakebite</strong>[S]: Choose 1 special ability or auto ability. Cancel its effects.",0.05,0.16,0.99,0.11,,Normal,3-057R,Forward,Wind,2,Class Zero Cadet,Type-0,4000
137399,Seven,Seven,https://tcgplayer-cdn.tcgplayer.com/product/137399_200w.jpg,24,1946,https://cpt.tcgcsv.com/_Z62,2017-07-19T13:16:03.35,1,Rare,"The <em>Job Class Zero Cadet</em> Forwards you control cannot be blocked by a Forward of cost 4 or more.
<br><strong>Snakebite</strong>[S]: Choose 1 special ability or auto ability. Cancel its effects.",1.5,4.99,10.99,3.46,,Foil,3-057R,Forward,Wind,2,Class Zero Cadet,Type-0,4000
137400,Deuce,Deuce,https://tcgplayer-cdn.tcgplayer.com/product/137400_200w.jpg,24,1946,https://cpt.tcgcsv.com/0-62,2017-07-19T13:16:44.467,1,Common,"[G][Dull]: Choose 1 attacking Forward. Deal it 2000 damage.
<br><strong>Concerto</strong> [S][G][Dull]: Choose 1 Forward. Deal it 4000 damage for each <em>Job Class Zero Cadet</em> Forward you control.",0.01,0.1,0.99,0.1,,Normal,3-062C,Backup,Wind,2,Class Zero Cadet,Type-0,
137400,Deuce,Deuce,https://tcgplayer-cdn.tcgplayer.com/product/137400_200w.jpg,24,1946,https://cpt.tcgcsv.com/0-62,2017-07-19T13:16:44.467,1,Common,"[G][Dull]: Choose 1 attacking Forward. Deal it 2000 damage.
<br><strong>Concerto</strong> [S][G][Dull]: Choose 1 Forward. Deal it 4000 damage for each <em>Job Class Zero Cadet</em> Forward you control.",0.32,0.53,1.0,0.68,,Foil,3-062C,Backup,Wind,2,Class Zero Cadet,Type-0,
137402,Eight,Eight,https://tcgplayer-cdn.tcgplayer.com/product/137402_200w.jpg,24,1946,https://cpt.tcgcsv.com/3-62,2017-07-19T13:12:17.403,1,Rare,"When Eight enters the field, choose up to 3 <em>Job Class Zero Cadet</em> Characters you control. <strong>Activate</strong> them.
<br><strong>Phantom Rush</strong> [S][G]: During this turn, Eight cannot be chosen by your opponent's Summons or abilities and the next damage dealt to him becomes 0 instead.",0.17,0.4,2.91,0.24,,Foil,3-051R,Forward,Wind,3,Class Zero Cadet,Type-0,7000
137402,Eight,Eight,https://tcgplayer-cdn.tcgplayer.com/product/137402_200w.jpg,24,1946,https://cpt.tcgcsv.com/3-62,2017-07-19T13:12:17.403,1,Rare,"When Eight enters the field, choose up to 3 <em>Job Class Zero Cadet</em> Characters you control. <strong>Activate</strong> them.
<br><strong>Phantom Rush</strong> [S][G]: During this turn, Eight cannot be chosen by your opponent's Summons or abilities and the next damage dealt to him becomes 0 instead.",0.05,0.15,7.99,0.1,,Normal,3-051R,Forward,Wind,3,Class Zero Cadet,Type-0,7000
137403,Vivi (Starter),Vivi Starter,https://tcgplayer-cdn.tcgplayer.com/product/137403_200w.jpg,24,1946,https://cpt.tcgcsv.com/5-62,2017-07-19T13:35:54.357,1,Starter,"Put Vivi into the Break Zone: Choose 1 Forward. Deal it 5000 damage.
<br>[R][R], put Vivi into the Break Zone: Choose 1 Forward. Deal it 8000 damage.",0.31,0.75,2.0,0.4,,Foil,3-149S,Forward,Fire,2,Black Mage,IX,2000
137403,Vivi (Starter),Vivi Starter,https://tcgplayer-cdn.tcgplayer.com/product/137403_200w.jpg,24,1946,https://cpt.tcgcsv.com/5-62,2017-07-19T13:35:54.357,1,Starter,"Put Vivi into the Break Zone: Choose 1 Forward. Deal it 5000 damage.
<br>[R][R], put Vivi into the Break Zone: Choose 1 Forward. Deal it 8000 damage.",0.4,0.44,1.99,0.44,,Normal,3-149S,Forward,Fire,2,Black Mage,IX,2000
137405,Black Waltz 2 EX,Black Waltz 2 EX,https://tcgplayer-cdn.tcgplayer.com/product/137405_200w.jpg,24,1946,https://cpt.tcgcsv.com/7-62,2017-07-19T13:07:25.547,1,Rare,"<strong>EX BURST</strong> When Black Waltz 2 enters the field, choose 1 Forward opponent controls. Deal it 3000 damage and 1000 more damage for each card in your opponent's hand.",0.25,0.49,2.99,0.57,,Foil,3-015R,Backup,Fire,3,Black Mage,IX,
137405,Black Waltz 2 EX,Black Waltz 2 EX,https://tcgplayer-cdn.tcgplayer.com/product/137405_200w.jpg,24,1946,https://cpt.tcgcsv.com/7-62,2017-07-19T13:07:25.547,1,Rare,"<strong>EX BURST</strong> When Black Waltz 2 enters the field, choose 1 Forward opponent controls. Deal it 3000 damage and 1000 more damage for each card in your opponent's hand.",0.03,0.17,0.99,0.11,,Normal,3-015R,Backup,Fire,3,Black Mage,IX,
137406,Ace,Ace,https://tcgplayer-cdn.tcgplayer.com/product/137406_200w.jpg,24,1946,https://cpt.tcgcsv.com/8-62,2017-07-19T13:03:59.073,1,Rare,"The <em>Job Class Zero Cadet</em> Forwards other than Ace you control gain +1000 power.
<br><strong>Cut Cards</strong>[S][R]: Choose 1 Forward. Reveal the top 4 cards of your deck. For each <em>Job Class Zero Cadet</em> revealed this way, deal it 4000 damage. Then, place the revealed cards at the bottom of your deck in any order.",0.32,0.46,1.58,0.36,,Foil,3-003R,Forward,Fire,3,Class Zero Cadet,Type-0,7000
137406,Ace,Ace,https://tcgplayer-cdn.tcgplayer.com/product/137406_200w.jpg,24,1946,https://cpt.tcgcsv.com/8-62,2017-07-19T13:03:59.073,1,Rare,"The <em>Job Class Zero Cadet</em> Forwards other than Ace you control gain +1000 power.
<br><strong>Cut Cards</strong>[S][R]: Choose 1 Forward. Reveal the top 4 cards of your deck. For each <em>Job Class Zero Cadet</em> revealed this way, deal it 4000 damage. Then, place the revealed cards at the bottom of your deck in any order.",0.03,0.15,208690.97,0.07,,Normal,3-003R,Forward,Fire,3,Class Zero Cadet,Type-0,7000
137407,Cater,Cater,https://tcgplayer-cdn.tcgplayer.com/product/137407_200w.jpg,24,1946,https://cpt.tcgcsv.com/9-62,2017-07-19T13:06:09.393,1,Common,"[G][Dull]: Choose 1 Forward. Deal it 1000 damage.
<br>[P][Dull]: Choose 1 damaged Forward. Deal it 2000 damage.",0.39,0.45,1.0,0.72,,Foil,3-009C,Backup,Fire,2,Class Zero Cadet,Type-0,
137407,Cater,Cater,https://tcgplayer-cdn.tcgplayer.com/product/137407_200w.jpg,24,1946,https://cpt.tcgcsv.com/9-62,2017-07-19T13:06:09.393,1,Common,"[G][Dull]: Choose 1 Forward. Deal it 1000 damage.
<br>[P][Dull]: Choose 1 damaged Forward. Deal it 2000 damage.",0.06,0.15,0.99,0.17,,Normal,3-009C,Backup,Fire,2,Class Zero Cadet,Type-0,
137408,Vivi,Vivi,https://tcgplayer-cdn.tcgplayer.com/product/137408_200w.jpg,24,1946,https://cpt.tcgcsv.com/b-62,2017-07-19T13:07:53.26,1,Legend,"When Vivi enters the field, choose 1 Forward opponent controls. Deal it 4000 damage and 1000 more damage for each card in your opponent's hand.
<br><strong>Firaga</strong>[S][R][R][R][Dull]: Deal 7000 damage to all Forwards.",0.25,0.55,5.0,0.48,,Normal,3-017L,Forward,Fire,3,Black Mage,IX,4000
137408,Vivi,Vivi,https://tcgplayer-cdn.tcgplayer.com/product/137408_200w.jpg,24,1946,https://cpt.tcgcsv.com/b-62,2017-07-19T13:07:53.26,1,Legend,"When Vivi enters the field, choose 1 Forward opponent controls. Deal it 4000 damage and 1000 more damage for each card in your opponent's hand.
<br><strong>Firaga</strong>[S][R][R][R][Dull]: Deal 7000 damage to all Forwards.",0.45,1.99,14.99,1.96,,Foil,3-017L,Forward,Fire,3,Black Mage,IX,4000
137409,Faris EX,Faris EX,https://tcgplayer-cdn.tcgplayer.com/product/137409_200w.jpg,24,1946,https://cpt.tcgcsv.com/c-62,2017-07-26T15:18:26.683,1,Hero,"<strong>EX BURST</strong> When Faris enters the field, you may search for 1 <em>Card Name Syldra</em> and add it to your hand. 
<br>If you control <em>Card Name Lenna</em>, Faris gains +1000 power.",0.24,0.44,2.0,0.25,,Foil,3-019H,Forward,Fire,5,Pirate,V,8000
137409,Faris EX,Faris EX,https://tcgplayer-cdn.tcgplayer.com/product/137409_200w.jpg,24,1946,https://cpt.tcgcsv.com/c-62,2017-07-26T15:18:26.683,1,Hero,"<strong>EX BURST</strong> When Faris enters the field, you may search for 1 <em>Card Name Syldra</em> and add it to your hand. 
<br>If you control <em>Card Name Lenna</em>, Faris gains +1000 power.",0.03,0.25,1.0,0.12,,Normal,3-019H,Forward,Fire,5,Pirate,V,8000
137410,Edward,Edward,https://tcgplayer-cdn.tcgplayer.com/product/137410_200w.jpg,24,1946,https://cpt.tcgcsv.com/d-62,2017-07-26T15:13:24.97,1,Rare,"[I][1][Dull]: Your Opponent discards 1 card from his/her hand. You may only use this ability during your turn. 
<br><strong>Escape</strong>[S]: Edward cannot be chosen by your opponent's Summons or Abilities this turn.",0.03,0.17,0.99,0.13,,Normal,3-029R,Backup,Ice,3,King of Damcyan,IV,
137410,Edward,Edward,https://tcgplayer-cdn.tcgplayer.com/product/137410_200w.jpg,24,1946,https://cpt.tcgcsv.com/d-62,2017-07-26T15:13:24.97,1,Rare,"[I][1][Dull]: Your Opponent discards 1 card from his/her hand. You may only use this ability during your turn. 
<br><strong>Escape</strong>[S]: Edward cannot be chosen by your opponent's Summons or Abilities this turn.",0.35,0.65,1.1,0.5,,Foil,3-029R,Backup,Ice,3,King of Damcyan,IV,
137411,Kuja,Kuja,https://tcgplayer-cdn.tcgplayer.com/product/137411_200w.jpg,24,1946,https://cpt.tcgcsv.com/f-62,2018-03-13T13:04:33.763,1,Legend,"When Kuja attacks, choose 1 Forward. You may pay [1]. If you do so, <strong>dull</strong> it. 
<br>When Kuja attacks, choose 1 Forward. You may pay [I]. If you do so, <strong>freeze</strong> it.",0.44,1.05,13.87,0.68,,Foil,3-030L,Forward,Ice,3,Genome,IX;Lord of Vermilion,7000
137411,Kuja,Kuja,https://tcgplayer-cdn.tcgplayer.com/product/137411_200w.jpg,24,1946,https://cpt.tcgcsv.com/f-62,2018-03-13T13:04:33.763,1,Legend,"When Kuja attacks, choose 1 Forward. You may pay [1]. If you do so, <strong>dull</strong> it. 
<br>When Kuja attacks, choose 1 Forward. You may pay [I]. If you do so, <strong>freeze</strong> it.",0.25,0.81,8.55,0.51,,Normal,3-030L,Forward,Ice,3,Genome,IX;Lord of Vermilion,7000
137412,Kurasame,Kurasame,https://tcgplayer-cdn.tcgplayer.com/product/137412_200w.jpg,24,1946,https://cpt.tcgcsv.com/g-62,2017-07-26T15:14:15.277,1,Rare,"When Kurasame enters the field, choose up to 2 Forwards opponent controls. <strong>Freeze</strong> them.",0.05,0.1,0.99,0.07,,Normal,3-031R,Forward,Ice,5,Instructor,Type-0,9000
