productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extCardType,extElement,extCost,extJob,extCategory,extPower
191346,Opus IX Booster Box,Opus IX Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/191346_200w.jpg,24,2460,https://cpt.tcgcsv.com/Xxx2,2019-05-29T19:25:52.707,1,None,Each Opus IX Booster Box comes with 36 packs of 12 random cards <em>(1 of which is premium foiled)</em>,129.99,170.01,259.99,128.69,,Normal,,,,,,,
191347,Opus IX Booster Pack,Opus IX Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/191347_200w.jpg,24,2460,https://cpt.tcgcsv.com/Zxx2,2019-05-29T19:26:18.11,1,None,Each Opus IX Booster pack contains 12 random cards <em>(1 of which is premium foiled)</em>,5.49,6.72,7.95,5.49,,Normal,,,,,,,
194256,Irvine,Irvine,https://tcgplayer-cdn.tcgplayer.com/product/194256_200w.jpg,24,2460,https://cpt.tcgcsv.com/8Kz2,2019-07-12T12:11:51.99,1,Common,"When Irvine enters the field, choose 1 Forward. Deal it 5000 damage. If the number of Forwards your opponent controls is greater than the number of Forwards you control, deal it 7000 damage instead.",0.19,0.24,1.0,0.25,,Foil,9-001C,Backup,Fire,4,Sniper,VIII;Pictlogica,
194256,Irvine,Irvine,https://tcgplayer-cdn.tcgplayer.com/product/194256_200w.jpg,24,2460,https://cpt.tcgcsv.com/8Kz2,2019-07-12T12:11:51.99,1,Common,"When Irvine enters the field, choose 1 Forward. Deal it 5000 damage. If the number of Forwards your opponent controls is greater than the number of Forwards you control, deal it 7000 damage instead.",0.05,0.1,0.99,0.09,,Normal,9-001C,Backup,Fire,4,Sniper,VIII;Pictlogica,
194257,Ifrita,Ifrita,https://tcgplayer-cdn.tcgplayer.com/product/194257_200w.jpg,24,2460,https://cpt.tcgcsv.com/9Kz2,2019-07-09T19:18:25.59,1,Hero,"Select 1 of the 3 following actions. If you have a total of 5 or more <em>Card Name Ifrita</em> and/or <em>Card Name Ifrit</em> in your Break Zone (before paying the cost for Ifrita), select up to 3 of the 3 following actions instead.
<br>""Choose 1 Forward. Deal it 7000 damage.
<br>""Choose 1 Monster of cost 3 or less. Break it.""
<br>""Deal 3000 damage to all the Forwards opponent controls.""",0.2,0.25,1.05,0.23,,Normal,9-002H,Summon,Fire,3,,Mobius,
194257,Ifrita,Ifrita,https://tcgplayer-cdn.tcgplayer.com/product/194257_200w.jpg,24,2460,https://cpt.tcgcsv.com/9Kz2,2019-07-09T19:18:25.59,1,Hero,"Select 1 of the 3 following actions. If you have a total of 5 or more <em>Card Name Ifrita</em> and/or <em>Card Name Ifrit</em> in your Break Zone (before paying the cost for Ifrita), select up to 3 of the 3 following actions instead.
<br>""Choose 1 Forward. Deal it 7000 damage.
<br>""Choose 1 Monster of cost 3 or less. Break it.""
<br>""Deal 3000 damage to all the Forwards opponent controls.""",0.23,0.53,9.0,0.24,,Foil,9-002H,Summon,Fire,3,,Mobius,
194258,Ace,Ace,https://tcgplayer-cdn.tcgplayer.com/product/194258_200w.jpg,24,2460,https://cpt.tcgcsv.com/bKz2,2019-07-12T12:13:29.287,1,Common,"When Ace enters the field, choose 1 Forward opponent controls. Reveal the top 5 cards of your deck. If you have a <em>Job Class Zero Cadet</em> among them, deal it 7000 damage. Then, shuffle the revealed cards and return them to the bottom of your deck.",0.16,0.25,1.0,0.19,,Foil,9-004C,Backup,Fire,2,Class Zero Cadet,Type-0;DFF,
194258,Ace,Ace,https://tcgplayer-cdn.tcgplayer.com/product/194258_200w.jpg,24,2460,https://cpt.tcgcsv.com/bKz2,2019-07-12T12:13:29.287,1,Common,"When Ace enters the field, choose 1 Forward opponent controls. Reveal the top 5 cards of your deck. If you have a <em>Job Class Zero Cadet</em> among them, deal it 7000 damage. Then, shuffle the revealed cards and return them to the bottom of your deck.",0.03,0.1,0.98,0.07,,Normal,9-004C,Backup,Fire,2,Class Zero Cadet,Type-0;DFF,
194259,Gaius EX,Gaius EX,https://tcgplayer-cdn.tcgplayer.com/product/194259_200w.jpg,24,2460,https://cpt.tcgcsv.com/cKz2,2019-07-12T12:15:31.69,1,Hero,"<strong>EX BURST</strong> When Gaius enters the field, you may search for 1 <em>Card Name Nero (XIV), Card Name Livia</em>, or <em>Card Name Rhitahtyn</em> and add it to your hand.
<br>When Gaius or a <em>Category XIV</em> Forward enters your field, choose 1 Forward opponent controls. Deal it 3000 damage.",0.22,0.25,0.85,0.42,,Foil,9-007H,Forward,Fire,6,General,XIV,8000
194259,Gaius EX,Gaius EX,https://tcgplayer-cdn.tcgplayer.com/product/194259_200w.jpg,24,2460,https://cpt.tcgcsv.com/cKz2,2019-07-12T12:15:31.69,1,Hero,"<strong>EX BURST</strong> When Gaius enters the field, you may search for 1 <em>Card Name Nero (XIV), Card Name Livia</em>, or <em>Card Name Rhitahtyn</em> and add it to your hand.
<br>When Gaius or a <em>Category XIV</em> Forward enters your field, choose 1 Forward opponent controls. Deal it 3000 damage.",0.03,0.19,0.99,0.11,,Normal,9-007H,Forward,Fire,6,General,XIV,8000
194260,Cyan,Cyan,https://tcgplayer-cdn.tcgplayer.com/product/194260_200w.jpg,24,2460,https://cpt.tcgcsv.com/dKz2,2019-07-09T19:23:28.213,1,Common,"When Cyan enters the field, until the end of the turn, all the Forwards you control gain +1000 power and <strong>Brave</strong>.",0.1,0.16,0.79,0.16,,Normal,9-008C,Backup,Fire,2,Samurai,VI,
194260,Cyan,Cyan,https://tcgplayer-cdn.tcgplayer.com/product/194260_200w.jpg,24,2460,https://cpt.tcgcsv.com/dKz2,2019-07-09T19:23:28.213,1,Common,"When Cyan enters the field, until the end of the turn, all the Forwards you control gain +1000 power and <strong>Brave</strong>.",2.66,2.8,2.86,2.75,,Foil,9-008C,Backup,Fire,2,Samurai,VI,
194261,King,King,https://tcgplayer-cdn.tcgplayer.com/product/194261_200w.jpg,24,2460,https://cpt.tcgcsv.com/fKz2,2019-07-12T12:16:57.863,1,Rare,"You can discard 1 <em>Job Class Zero Cadet</em> (instead of paying the CP cost) to play King from your hand onto the field.
<br>When King enters the field, choose 1 Forward. It cannot block this turn.",0.75,0.91,1.25,0.96,,Foil,9-010R,Forward,Fire,4,Class Zero Cadet,Type-0;DFF,8000
194261,King,King,https://tcgplayer-cdn.tcgplayer.com/product/194261_200w.jpg,24,2460,https://cpt.tcgcsv.com/fKz2,2019-07-12T12:16:57.863,1,Rare,"You can discard 1 <em>Job Class Zero Cadet</em> (instead of paying the CP cost) to play King from your hand onto the field.
<br>When King enters the field, choose 1 Forward. It cannot block this turn.",0.07,0.19,0.99,0.12,,Normal,9-010R,Forward,Fire,4,Class Zero Cadet,Type-0;DFF,8000
194262,Shadow,Shadow,https://tcgplayer-cdn.tcgplayer.com/product/194262_200w.jpg,24,2460,https://cpt.tcgcsv.com/gKz2,2019-07-12T12:18:24.15,1,Common,"[R][Dull], put Shadow into the Break Zone: Choose 1 Forward. Deal it 8000 damage. You can only use this ability if a Forward you controlled has been put from the field into the Break Zone this turn.",0.14,0.16,0.79,0.15,,Normal,9-012C,Backup,Fire,2,Assassin,VI,
