productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extCardType,extElement,extCost,extJob,extCategory,extPower
184327,Opus VIII Booster Box,Opus VIII Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/184327_200w.jpg,24,2395,https://cpt.tcgcsv.com/zLt2,2019-01-31T12:33:28.853,1,None,Each Opus VIII Booster Box comes with 36 packs of 12 random cards <em>(1 of which is premium foiled)</em>,252.01,253.51,255.0,256.0,,Normal,,,,,,,
184328,Opus VIII Booster Pack,Opus VIII Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/184328_200w.jpg,24,2395,https://cpt.tcgcsv.com/BLt2,2019-02-27T15:01:54.33,1,None,Each booster pack contains 12 random cards <em>(1 of which is premium foiled)</em>,6.0,6.5,6.99,6.83,,Normal,,,,,,,
184329,Final Fantasy VII Starter Set 2019,Final Fantasy VII Starter Set 2019,https://tcgplayer-cdn.tcgplayer.com/product/184329_200w.jpg,24,2395,https://cpt.tcgcsv.com/CLt2,2019-01-31T12:43:49.913,1,None,This 50-card preconstructed deck is themed around Final Fantasy VII.,,,,,,,,,,,,,
184330,Final Fantasy XIV Starter Set 2019,Final Fantasy XIV Starter Set 2019,https://tcgplayer-cdn.tcgplayer.com/product/184330_200w.jpg,24,2395,https://cpt.tcgcsv.com/DLt2,2019-01-31T12:44:07.747,1,None,This 50-card preconstructed deck is themed around Final Fantasy XIV.,125.0,125.0,125.0,79.93,,Normal,,,,,,,
185584,Sherlotta,Sherlotta,https://tcgplayer-cdn.tcgplayer.com/product/185584_200w.jpg,24,2395,https://cpt.tcgcsv.com/Jfv2,2019-03-18T17:52:31.26,1,Hero,"If you pay a CP, you may put Sherlotta into the Break Zone to produce 1 CP of any Element. (You can dull Sherlotta to pay the CP.)",0.5,1.0,1.03,,,Foil,8-053H,Backup,Wind,2,Mysterious Woman,FFCC,
185584,Sherlotta,Sherlotta,https://tcgplayer-cdn.tcgplayer.com/product/185584_200w.jpg,24,2395,https://cpt.tcgcsv.com/Jfv2,2019-03-18T17:52:31.26,1,Hero,"If you pay a CP, you may put Sherlotta into the Break Zone to produce 1 CP of any Element. (You can dull Sherlotta to pay the CP.)",0.15,0.28,1.04,0.24,,Normal,8-053H,Backup,Wind,2,Mysterious Woman,FFCC,
185586,Undead Princess,Undead Princess,https://tcgplayer-cdn.tcgplayer.com/product/185586_200w.jpg,24,2395,https://cpt.tcgcsv.com/Lfv2,2019-03-19T12:00:45.667,1,Hero,"When Undead Princess enters the field, choose 1 Forward. If your opponent doesn't pay 3, it cannot attack or block this turn.
<br>Put 2 Earth Backups into the Break Zone: Play Undead Princess onto the field dull. You can only use this ability if Undead Princess is in the Break Zone.",0.14,0.25,1.41,0.16,,Normal,8-071H,Forward,Earth,2,Undead,FFCC,5000
185586,Undead Princess,Undead Princess,https://tcgplayer-cdn.tcgplayer.com/product/185586_200w.jpg,24,2395,https://cpt.tcgcsv.com/Lfv2,2019-03-19T12:00:45.667,1,Hero,"When Undead Princess enters the field, choose 1 Forward. If your opponent doesn't pay 3, it cannot attack or block this turn.
<br>Put 2 Earth Backups into the Break Zone: Play Undead Princess onto the field dull. You can only use this ability if Undead Princess is in the Break Zone.",0.15,0.26,1.0,,,Foil,8-071H,Forward,Earth,2,Undead,FFCC,5000
185587,Alba EX,Alba EX,https://tcgplayer-cdn.tcgplayer.com/product/185587_200w.jpg,24,2395,https://cpt.tcgcsv.com/Mfv2,2019-03-27T11:38:19.9,1,Hero,"<strong>EX BURST</strong> When Alba enters the field, choose as many Forwards opponent controls as the <em>Job Warrior of Darkness</em> you control. Dull them.
<br>If your opponent controls 2 or more dull Forwards: Alba gains Haste and ""Alba cannot be chosen by your opponent's Summons or abilities"".",0.37,0.97,2.0,1.76,,Foil,8-091H,Forward,Lightning,3,Warrior of Darkness,FFL,6000
185587,Alba EX,Alba EX,https://tcgplayer-cdn.tcgplayer.com/product/185587_200w.jpg,24,2395,https://cpt.tcgcsv.com/Mfv2,2019-03-27T11:38:19.9,1,Hero,"<strong>EX BURST</strong> When Alba enters the field, choose as many Forwards opponent controls as the <em>Job Warrior of Darkness</em> you control. Dull them.
<br>If your opponent controls 2 or more dull Forwards: Alba gains Haste and ""Alba cannot be chosen by your opponent's Summons or abilities"".",0.1,0.3,1.0,0.15,,Normal,8-091H,Forward,Lightning,3,Warrior of Darkness,FFL,6000
185588,Squall,Squall,https://tcgplayer-cdn.tcgplayer.com/product/185588_200w.jpg,24,2395,https://cpt.tcgcsv.com/Nfv2,2019-05-07T12:50:09.267,1,Hero,"When Squall enters the field, if your opponent controls any dull Forwards, your opponent discards 1 card from his/her hand.
<br>[U][U][1]: Choose 1 Forward. Dull it. You can only use this ability if you have no cards in your hand.",0.43,0.86,1.5,0.48,,Foil,8-035H,Forward,Ice,4,SeeD Candidate,VIII,8000
185588,Squall,Squall,https://tcgplayer-cdn.tcgplayer.com/product/185588_200w.jpg,24,2395,https://cpt.tcgcsv.com/Nfv2,2019-05-07T12:50:09.267,1,Hero,"When Squall enters the field, if your opponent controls any dull Forwards, your opponent discards 1 card from his/her hand.
<br>[U][U][1]: Choose 1 Forward. Dull it. You can only use this ability if you have no cards in your hand.",0.22,0.25,1.51,0.26,,Normal,8-035H,Forward,Ice,4,SeeD Candidate,VIII,8000
185589,Cloud,Cloud,https://tcgplayer-cdn.tcgplayer.com/product/185589_200w.jpg,24,2395,https://cpt.tcgcsv.com/Pfv2,2019-03-19T12:52:58.003,1,Starter,"When Cloud enters the field, choose 1 Forward. If you control 4 or more <em>Category VII</em> Forwards, break it.
<br>When a <em>Category VII</em> Forward you control blocks, it gains +1000 power until the end of the turn.",0.99,1.02,2.49,1.04,,Normal,8-143S,Forward,Earth,3,SOLDIER,VII,7000
185589,Cloud,Cloud,https://tcgplayer-cdn.tcgplayer.com/product/185589_200w.jpg,24,2395,https://cpt.tcgcsv.com/Pfv2,2019-03-19T12:52:58.003,1,Starter,"When Cloud enters the field, choose 1 Forward. If you control 4 or more <em>Category VII</em> Forwards, break it.
<br>When a <em>Category VII</em> Forward you control blocks, it gains +1000 power until the end of the turn.",2.23,3.05,6.0,2.33,,Foil,8-143S,Forward,Earth,3,SOLDIER,VII,7000
185590,Lyse,Lyse,https://tcgplayer-cdn.tcgplayer.com/product/185590_200w.jpg,24,2395,https://cpt.tcgcsv.com/Qfv2,2019-03-19T12:50:58.397,1,Starter,"You cannot play Lyse or <em>Card Name Yda</em> while already in control of either Character.
<br>The Forwards other than Lyse you control gain +1000 power. If you have received 5 points of damage or more, the Forwards you control gain +2000 power instead.
<br><strong>Dragon Kick</strong> [S][Dull]: Choose 1 Forward. Deal it 8000 damage.",8.99,9.75,28.0,9.64,,Foil,8-139S,Forward,Fire,3,Scion of the Seventh Dawn,XIV,7000
185590,Lyse,Lyse,https://tcgplayer-cdn.tcgplayer.com/product/185590_200w.jpg,24,2395,https://cpt.tcgcsv.com/Qfv2,2019-03-19T12:50:58.397,1,Starter,"You cannot play Lyse or <em>Card Name Yda</em> while already in control of either Character.
<br>The Forwards other than Lyse you control gain +1000 power. If you have received 5 points of damage or more, the Forwards you control gain +2000 power instead.
<br><strong>Dragon Kick</strong> [S][Dull]: Choose 1 Forward. Deal it 8000 damage.",2.2,2.2,2.2,1.82,,Normal,8-139S,Forward,Fire,3,Scion of the Seventh Dawn,XIV,7000
185591,Ark Angel HM,Ark Angel HM,https://tcgplayer-cdn.tcgplayer.com/product/185591_200w.jpg,24,2395,https://cpt.tcgcsv.com/Rfv2,2019-03-18T17:14:18.013,1,Rare,"If Ark Angel HM deals damage to your opponent, double the damage instead.
<br>When Ark Angel HM attacks, Ark Angel HM gains +3000 power until the end of the turn.",0.7,0.74,1.5,0.73,,Foil,8-001R,Forward,Fire,3,Ark Angel,XI,6000
185591,Ark Angel HM,Ark Angel HM,https://tcgplayer-cdn.tcgplayer.com/product/185591_200w.jpg,24,2395,https://cpt.tcgcsv.com/Rfv2,2019-03-18T17:14:18.013,1,Rare,"If Ark Angel HM deals damage to your opponent, double the damage instead.
<br>When Ark Angel HM attacks, Ark Angel HM gains +3000 power until the end of the turn.",0.03,0.15,0.99,0.15,,Normal,8-001R,Forward,Fire,3,Ark Angel,XI,6000
185592,Iroha,Iroha,https://tcgplayer-cdn.tcgplayer.com/product/185592_200w.jpg,24,2395,https://cpt.tcgcsv.com/Sfv2,2019-03-18T17:15:51.857,1,Rare,"If a Fire Character you control deals damage to a Forward, the damage increase by 1000 instead.
<br>[Dull]: Choose 1 Forward. Deal it 1000 damage.",2.25,2.54,5.0,2.58,,Foil,8-004R,Forward,Fire,3,Samurai,XI;Mobius,7000
185592,Iroha,Iroha,https://tcgplayer-cdn.tcgplayer.com/product/185592_200w.jpg,24,2395,https://cpt.tcgcsv.com/Sfv2,2019-03-18T17:15:51.857,1,Rare,"If a Fire Character you control deals damage to a Forward, the damage increase by 1000 instead.
<br>[Dull]: Choose 1 Forward. Deal it 1000 damage.",0.3,0.35,0.99,0.35,,Normal,8-004R,Forward,Fire,3,Samurai,XI;Mobius,7000
185593,Cloud EX,Cloud EX,https://tcgplayer-cdn.tcgplayer.com/product/185593_200w.jpg,24,2395,https://cpt.tcgcsv.com/Tfv2,2019-03-18T17:16:20.323,1,Legend,"<strong>EX BURST</strong> When Cloud enters the field, choose 1 Forward opponent controls. Deal it 3000 damage and 1000 more damage for each point of damage you have received.
<br>When Cloud is put from the field into the Break Zone, you may remove the top 10 cards of your deck from the game. If you do so, return Cloud to the field dull.",4.0,5.0,24.99,4.31,,Foil,8-006L,Forward,Fire,5,SOLDIER,VII,9000
185593,Cloud EX,Cloud EX,https://tcgplayer-cdn.tcgplayer.com/product/185593_200w.jpg,24,2395,https://cpt.tcgcsv.com/Tfv2,2019-03-18T17:16:20.323,1,Legend,"<strong>EX BURST</strong> When Cloud enters the field, choose 1 Forward opponent controls. Deal it 3000 damage and 1000 more damage for each point of damage you have received.
<br>When Cloud is put from the field into the Break Zone, you may remove the top 10 cards of your deck from the game. If you do so, return Cloud to the field dull.",0.5,0.99,4.0,0.97,,Normal,8-006L,Forward,Fire,5,SOLDIER,VII,9000
185594,Bahamut,Bahamut,https://tcgplayer-cdn.tcgplayer.com/product/185594_200w.jpg,24,2395,https://cpt.tcgcsv.com/Vfv2,2019-03-18T17:26:36.677,1,Hero,"You can only pay with CP produced by Backups to cast Bahamut.
<br>Choose 1 Forward. Deal it 10000 damage. If it is put from the field into the Break Zone this turn, remove it from the game instead.",0.9,0.95,0.95,0.97,,Normal,8-015H,Summon,Fire,4,,Special,
185594,Bahamut,Bahamut,https://tcgplayer-cdn.tcgplayer.com/product/185594_200w.jpg,24,2395,https://cpt.tcgcsv.com/Vfv2,2019-03-18T17:26:36.677,1,Hero,"You can only pay with CP produced by Backups to cast Bahamut.
<br>Choose 1 Forward. Deal it 10000 damage. If it is put from the field into the Break Zone this turn, remove it from the game instead.",17.75,19.0,20.0,0.96,,Foil,8-015H,Summon,Fire,4,,Special,
185596,Dark Fina,Dark Fina,https://tcgplayer-cdn.tcgplayer.com/product/185596_200w.jpg,24,2395,https://cpt.tcgcsv.com/Xfv2,2019-03-18T17:43:01.443,1,Legend,"When Dark Fina enters the field, select 1 of the 2 following actions. If you have received 5 points of damange of more, select up to 2 of the 2 following actions instead.
<br>""Search for 1 Summon and add it to your hand.""
<br>""Cast 1 Summon of cost 7 or less from your hand without paying the cost.""",0.61,1.0,7.99,0.99,,Normal,8-042L,Forward,Ice,7,Sage of Hess,FFBE,9000
185596,Dark Fina,Dark Fina,https://tcgplayer-cdn.tcgplayer.com/product/185596_200w.jpg,24,2395,https://cpt.tcgcsv.com/Xfv2,2019-03-18T17:43:01.443,1,Legend,"When Dark Fina enters the field, select 1 of the 2 following actions. If you have received 5 points of damange of more, select up to 2 of the 2 following actions instead.
<br>""Search for 1 Summon and add it to your hand.""
<br>""Cast 1 Summon of cost 7 or less from your hand without paying the cost.""",3.78,4.0,12.99,4.75,,Foil,8-042L,Forward,Ice,7,Sage of Hess,FFBE,9000
185597,Alexander (Mobius VII),Alexander Mobius VII,https://tcgplayer-cdn.tcgplayer.com/product/185597_200w.jpg,24,2395,https://cpt.tcgcsv.com/Zfv2,2019-03-18T17:46:16.257,1,Rare,Choose 1 Character of cost 4 or more. Break it.,0.02,0.15,0.99,0.1,,Normal,8-046R,Summon,Wind,4,,VII;Mobius,
