productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extCardType,extElement,extCost,extPower,extJob,extCategory
166601,Opus VI - Booster Box,Opus VI Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/166601_200w.jpg,24,2254,https://cpt.tcgcsv.com/2Gl2,2018-05-04T15:45:45.977,1,None,"<strong>Opus VI</strong> enhances the play experience and collectability, featuring popular characters from the fan favorite series. This set features exclusive, original art from the following Final Fantasy veterans: 
<br>• Matsuda Toshitaka
<br>• Ryoma Ito 
<br>• Roberto Ferrari
<br><br>
Booster packs include: 
<br>• 12 cards total 
<br>• 1 premium foiled card",64.0,70.99,85.0,66.23,,Normal,,,,,,,
166602,Opus VI - Booster Pack,Opus VI Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/166602_200w.jpg,24,2254,https://cpt.tcgcsv.com/3Gl2,2018-05-04T15:46:06.847,1,None,"<strong>Opus VI</strong> enhances the play experience and collectability, featuring popular characters from the fan favorite series. This set features exclusive, original art from the following Final Fantasy veterans: 
<br>• Matsuda Toshitaka
<br>• Ryoma Ito 
<br>• Roberto Ferrari
<br><br>
Booster packs include: 
<br>• 12 cards total 
<br>• 1 premium foiled card",4.0,4.95,6.49,4.69,,Normal,,,,,,,
169593,Garland,Garland,https://tcgplayer-cdn.tcgplayer.com/product/169593_200w.jpg,24,2254,https://cpt.tcgcsv.com/TRm2,2023-03-22T15:33:56.11,1,Legend,"If you control a <em>Job Princess</em>, the <em>Job Knight</em> Forwards you control gain Brave.
<br><strong>Blaze</strong> : Choose 1 Forward. Deal it 7000 damage.
<br><strong>Round Edge</strong>[S][R][R]1: Choose 1 Forward. Break it. Deal 5000 damage to all the Forwards opponent controls.",2.75,5.0,7.97,4.24,,Normal,6-002L,Forward,Fire,5,9000,Knight,I;DFF
169593,Garland,Garland,https://tcgplayer-cdn.tcgplayer.com/product/169593_200w.jpg,24,2254,https://cpt.tcgcsv.com/TRm2,2023-03-22T15:33:56.11,1,Legend,"If you control a <em>Job Princess</em>, the <em>Job Knight</em> Forwards you control gain Brave.
<br><strong>Blaze</strong> : Choose 1 Forward. Deal it 7000 damage.
<br><strong>Round Edge</strong>[S][R][R]1: Choose 1 Forward. Break it. Deal 5000 damage to all the Forwards opponent controls.",7.1,10.1,15.99,9.27,,Foil,6-002L,Forward,Fire,5,9000,Knight,I;DFF
169594,Guy,Guy,https://tcgplayer-cdn.tcgplayer.com/product/169594_200w.jpg,24,2254,https://cpt.tcgcsv.com/VRm2,2018-10-19T11:35:11.54,1,Hero,"<strong>Brave</strong>
<br>For each <em>Category II</em> Character other than Guy you 
<br>control, Guy gains +1000 power.
<br>When Guy is put from the field into the Break Zone, 
<br><strong>activate</strong> all the Forwards you control.",0.25,0.26,1.0,0.26,,Foil,6-003H,Forward,Fire,3,7000,Rebel,II
169594,Guy,Guy,https://tcgplayer-cdn.tcgplayer.com/product/169594_200w.jpg,24,2254,https://cpt.tcgcsv.com/VRm2,2018-10-19T11:35:11.54,1,Hero,"<strong>Brave</strong>
<br>For each <em>Category II</em> Character other than Guy you 
<br>control, Guy gains +1000 power.
<br>When Guy is put from the field into the Break Zone, 
<br><strong>activate</strong> all the Forwards you control.",0.03,0.25,0.99,0.21,,Normal,6-003H,Forward,Fire,3,7000,Rebel,II
169595,Kiros,Kiros,https://tcgplayer-cdn.tcgplayer.com/product/169595_200w.jpg,24,2254,https://cpt.tcgcsv.com/WRm2,2018-11-01T18:41:37.213,1,Common,"When Kiros enters the field, choose 1 Forward you 
<br>control other than Kiros. It gains +2000 power until the 
<br>end of the turn. If it is a <em>Category VIII</em> Forward, it also 
<br>gains <strong>Haste</strong>, <strong>First Strike</strong> and <strong>Brave</strong> until the end of the turn.",0.17,0.38,1.0,0.32,,Foil,6-004C,Forward,Fire,2,5000,Warrior,VIII;Pictlogica
169595,Kiros,Kiros,https://tcgplayer-cdn.tcgplayer.com/product/169595_200w.jpg,24,2254,https://cpt.tcgcsv.com/WRm2,2018-11-01T18:41:37.213,1,Common,"When Kiros enters the field, choose 1 Forward you 
<br>control other than Kiros. It gains +2000 power until the 
<br>end of the turn. If it is a <em>Category VIII</em> Forward, it also 
<br>gains <strong>Haste</strong>, <strong>First Strike</strong> and <strong>Brave</strong> until the end of the turn.",0.03,0.1,0.79,0.1,,Normal,6-004C,Forward,Fire,2,5000,Warrior,VIII;Pictlogica
169596,Zell,Zell,https://tcgplayer-cdn.tcgplayer.com/product/169596_200w.jpg,24,2254,https://cpt.tcgcsv.com/XRm2,2023-03-22T15:34:12.323,1,Rare,"<strong>Haste</strong>
<br>When Zell enters the field, select 1 of the 2 following actions.
<br>""Choose 1 Forward opponent controls. Deal it damage equal to Zell's power.""
<br>""Choose 1 Monster of cost 2 or less opponent controls. Break it.""",0.15,0.4,1.9,0.28,,Foil,6-012R,Forward,Fire,4,4000,SeeD Candidate,VIII;DFF
169596,Zell,Zell,https://tcgplayer-cdn.tcgplayer.com/product/169596_200w.jpg,24,2254,https://cpt.tcgcsv.com/XRm2,2023-03-22T15:34:12.323,1,Rare,"<strong>Haste</strong>
<br>When Zell enters the field, select 1 of the 2 following actions.
<br>""Choose 1 Forward opponent controls. Deal it damage equal to Zell's power.""
<br>""Choose 1 Monster of cost 2 or less opponent controls. Break it.""",0.01,0.13,2.26,0.12,,Normal,6-012R,Forward,Fire,4,4000,SeeD Candidate,VIII;DFF
