productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,extGTIN,extSKU,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extCardType,extElement,extCost,extPower,extJob,extCategory
229217,Opus XIII: Crystal Radiance Booster Pack,Opus XIII Crystal Radiance Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/229217_200w.jpg,24,2764,https://cpt.tcgcsv.com/mJR2,2021-04-30T04:03:07.807,1,None,Each Opus XIII: Crystal Radiance Booster Pack contains 12 random cards <em>(1 of which is premium foiled)</em>,662248832043,SQE832043,6.22,6.49,7.0,6.66,,Normal,,,,,,,
229218,Opus XIII: Crystal Radiance Booster Box,Opus XIII Crystal Radiance Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/229218_200w.jpg,24,2764,https://cpt.tcgcsv.com/nJR2,2021-04-30T04:03:07.807,1,None,Each Opus XIII: Crystal Radiance Booster Box comes with 36 packs of 12 random cards <em>(1 of which is premium foiled)</em>,662248832050,SQE832043,209.99,209.99,209.99,205.97,,Normal,,,,,,,
230157,Two-Player Starter Set: Final Fantasy XIV Shadowbringers,Two Player Starter Set Final Fantasy XIV Shadowbringers,https://tcgplayer-cdn.tcgplayer.com/product/230157_200w.jpg,24,2764,https://cpt.tcgcsv.com/95S2,2022-06-21T16:02:03.457,1,None,"Final Fantasy XIV: Shadowbringers Two-Player Starter Set includes:
<br>One Preconstructed Deck 1 (Earth/Lightning)
<br>One  Preconstructed Deck 2 (Fire/Ice)
<br>One set of rules",662248832999,,89.99,94.0,111.99,91.7,,Normal,,,,,,,
232622,Materia,Materia,https://tcgplayer-cdn.tcgplayer.com/product/232622_200w.jpg,24,2764,https://cpt.tcgcsv.com/s3T2,2021-04-30T04:03:07.807,1,Legend,"You can play or more Light Characters onto the field.
<br>When Materia enters the field, you may pay [X]. When you do so, <strong>search</strong> for 1 Light Forward of cost X and play it onto the field.
<br>When a Light Forward other than Materia you control is put from the field into the Break Zone, draw 1 card. This effect will trigger only once per turn.",,,8.63,14.25,19.99,4.12,,Foil,13-103L,Forward,Light,1,2000,Goddess,DFF
232622,Materia,Materia,https://tcgplayer-cdn.tcgplayer.com/product/232622_200w.jpg,24,2764,https://cpt.tcgcsv.com/s3T2,2021-04-30T04:03:07.807,1,Legend,"You can play or more Light Characters onto the field.
<br>When Materia enters the field, you may pay [X]. When you do so, <strong>search</strong> for 1 Light Forward of cost X and play it onto the field.
<br>When a Light Forward other than Materia you control is put from the field into the Break Zone, draw 1 card. This effect will trigger only once per turn.",,,4.0,4.99,8.99,2.87,,Normal,13-103L,Forward,Light,1,2000,Goddess,DFF
232623,Rubicante,Rubicante,https://tcgplayer-cdn.tcgplayer.com/product/232623_200w.jpg,24,2764,https://cpt.tcgcsv.com/t3T2,2021-04-30T04:03:07.807,1,Hero,"When Rubicante is put from the field into the Break Zone, choose 1 Forward opponent controls. Deal it damage equal to Rubicante's power.
<br><em>Damage 3 —</em> Rubicante gains +3000 power.",,,0.35,0.5,1.86,0.44,,Foil,13-016H,Forward,Fire,2,5000,Archfiend,IV
232623,Rubicante,Rubicante,https://tcgplayer-cdn.tcgplayer.com/product/232623_200w.jpg,24,2764,https://cpt.tcgcsv.com/t3T2,2021-04-30T04:03:07.807,1,Hero,"When Rubicante is put from the field into the Break Zone, choose 1 Forward opponent controls. Deal it damage equal to Rubicante's power.
<br><em>Damage 3 —</em> Rubicante gains +3000 power.",,,0.14,0.25,1.5,0.18,,Normal,13-016H,Forward,Fire,2,5000,Archfiend,IV
232624,Rubicante (Full Art),Rubicante Full Art,https://tcgplayer-cdn.tcgplayer.com/product/232624_200w.jpg,24,2764,https://cpt.tcgcsv.com/v3T2,2021-04-30T04:03:07.807,1,Hero,"When Rubicante is put from the field into the Break Zone, choose 1 Forward opponent controls. Deal it damage equal to Rubicante's power.
<br><em>Damage 3 —</em> Rubicante gains +3000 power.",,,10.51,11.5,29.99,10.12,,Foil,13-016H,Forward,Fire,2,5000,Archfiend,IV
232625,Spiritus,Spiritus,https://tcgplayer-cdn.tcgplayer.com/product/232625_200w.jpg,24,2764,https://cpt.tcgcsv.com/w3T2,2021-04-30T04:03:07.807,1,Legend,"You can play 2 or more Dark Characters onto the field.
<br>When Spiritus enters the field, you may pay [X]. When you do so, <strong>search>/strong> for 1 Dark Forward of cost X and play it onto the field.
<br>When a Dark Forward other than Spiritus you control is put from the field into the Break Zone, choose up to 1 Forward. Remove it from the game. This effect will trigger only once per turn.",,,1.25,3.57,9.99,2.51,,Normal,13-104L,Forward,Dark,1,2000,God,DFF
232625,Spiritus,Spiritus,https://tcgplayer-cdn.tcgplayer.com/product/232625_200w.jpg,24,2764,https://cpt.tcgcsv.com/w3T2,2021-04-30T04:03:07.807,1,Legend,"You can play 2 or more Dark Characters onto the field.
<br>When Spiritus enters the field, you may pay [X]. When you do so, <strong>search>/strong> for 1 Dark Forward of cost X and play it onto the field.
<br>When a Dark Forward other than Spiritus you control is put from the field into the Break Zone, choose up to 1 Forward. Remove it from the game. This effect will trigger only once per turn.",,,3.98,3.99,29.99,3.14,,Foil,13-104L,Forward,Dark,1,2000,God,DFF
