productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extCardType,extElement,extCost,extCategory,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extPower,extJob,extGTIN
215051,Amaterasu,Amaterasu,https://tcgplayer-cdn.tcgplayer.com/product/215051_200w.jpg,24,2664,https://cpt.tcgcsv.com/22L2,2020-11-06T05:03:05.01,1,Hero,12-002H,"Choose 1 auto-ability. Cancel its effect. If the cancelled auto-ability triggered from a Forward, deal that Forward 8000 damage.",Summon,Fire,3,FFEX,4.5,5.62,36.73,4.93,,Normal,,,
215051,Amaterasu,Amaterasu,https://tcgplayer-cdn.tcgplayer.com/product/215051_200w.jpg,24,2664,https://cpt.tcgcsv.com/22L2,2020-11-06T05:03:05.01,1,Hero,12-002H,"Choose 1 auto-ability. Cancel its effect. If the cancelled auto-ability triggered from a Forward, deal that Forward 8000 damage.",Summon,Fire,3,FFEX,5.12,13.5,40.0,16.84,,Foil,,,
215052,Amaterasu (Full Art),Amaterasu Full Art,https://tcgplayer-cdn.tcgplayer.com/product/215052_200w.jpg,24,2664,https://cpt.tcgcsv.com/32L2,2020-11-06T05:03:05.01,1,Hero,12-002H,"Choose 1 auto-ability. Cancel its effect. If the cancelled auto-ability triggered from a Forward, deal that Forward 8000 damage.",Summon,Fire,3,FFEX,50.0,57.49,103.0,54.5,,Foil,,,
215327,Selh'teus,Selhteus,https://tcgplayer-cdn.tcgplayer.com/product/215327_200w.jpg,24,2664,https://cpt.tcgcsv.com/z8L2,2020-11-06T05:03:05.01,1,Legend,12-112L,"When Selh'teus enters the field, remove up to 5 Fire Forwards and/or Ice Forwards in your Break Zone from the game. Then, reveal the top 5 cards of your deck. Play 1 Forward of cost equal to or less than the number of removed cards among them onto the field and return the other cards to the bottom of your deck in any order.",Forward,Fire;Ice,4,XI,1.99,2.81,11.49,3.33,,Normal,7000,Kuluu,
215327,Selh'teus,Selhteus,https://tcgplayer-cdn.tcgplayer.com/product/215327_200w.jpg,24,2664,https://cpt.tcgcsv.com/z8L2,2020-11-06T05:03:05.01,1,Legend,12-112L,"When Selh'teus enters the field, remove up to 5 Fire Forwards and/or Ice Forwards in your Break Zone from the game. Then, reveal the top 5 cards of your deck. Play 1 Forward of cost equal to or less than the number of removed cards among them onto the field and return the other cards to the bottom of your deck in any order.",Forward,Fire;Ice,4,XI,4.69,4.73,17.0,3.61,,Foil,7000,Kuluu,
215328,Selh'teus (Full Art),Selhteus Full Art,https://tcgplayer-cdn.tcgplayer.com/product/215328_200w.jpg,24,2664,https://cpt.tcgcsv.com/B8L2,2020-11-06T05:03:05.01,1,Legend,12-112L,"When Selh'teus enters the field, remove up to 5 Fire Forwards and/or Ice Forwards in your Break Zone from the game. Then, reveal the top 5 cards of your deck. Play 1 Forward of cost equal to or less than the number of removed cards among them onto the field and return the other cards to the bottom of your deck in any order.",Forward,Fire;Ice,4,XI,,,,,,,7000,Kuluu,
216715,Lani,Lani,https://tcgplayer-cdn.tcgplayer.com/product/216715_200w.jpg,24,2664,https://cpt.tcgcsv.com/kJL2,2020-11-06T05:03:05.01,1,Hero,12-018H,"When Lani enters the field, your opponent removes the top card of their deck from the game face down. You can look at it and/or cast it at any time you could normally cast it. The cost for casting it is reduced by 2 and can be paid using CP of any Element.",Forward,Fire,4,IX,0.25,0.75,1.5,0.91,,Normal,7000,Headhunter,
216715,Lani,Lani,https://tcgplayer-cdn.tcgplayer.com/product/216715_200w.jpg,24,2664,https://cpt.tcgcsv.com/kJL2,2020-11-06T05:03:05.01,1,Hero,12-018H,"When Lani enters the field, your opponent removes the top card of their deck from the game face down. You can look at it and/or cast it at any time you could normally cast it. The cost for casting it is reduced by 2 and can be paid using CP of any Element.",Forward,Fire,4,IX,1.0,1.93,3.49,2.2,,Foil,7000,Headhunter,
216716,Lani (Full Art),Lani Full Art,https://tcgplayer-cdn.tcgplayer.com/product/216716_200w.jpg,24,2664,https://cpt.tcgcsv.com/lJL2,2020-11-06T05:03:05.01,1,Hero,12-018H,"When Lani enters the field, your opponent removes the top card of their deck from the game face down. You can look at it and/or cast it at any time you could normally cast it. The cost for casting it is reduced by 2 and can be paid using CP of any Element.",Forward,Fire,4,IX,40.0,42.98,50.4,40.99,,Foil,7000,Headhunter,
218098,Emet-Selch,Emet Selch,https://tcgplayer-cdn.tcgplayer.com/product/218098_200w.jpg,24,2664,https://cpt.tcgcsv.com/-fM2,2020-11-06T05:03:05.01,1,Hero,12-024H,"When Emet-Selch is chosen by your opponent's Summons or abilities, remove Emet-Selch from the game. If you do so, play Emet-Selch onto the field at the end of the turn. 
<br><em>Damage 5 –</em> When Emet-Selch enters the field, you may pay [I]. When you do so, select 1 of the 2 following actions. ""Choose 1 <strong>dull</strong> Forward. Break it."" 
<br>""Choose 1 Forward of cost 2 or less in your Break Zone. Play it onto the field.""",Forward,Ice,4,XIV,0.25,0.5,1.5,0.64,,Foil,9000,Ascian,
218098,Emet-Selch,Emet Selch,https://tcgplayer-cdn.tcgplayer.com/product/218098_200w.jpg,24,2664,https://cpt.tcgcsv.com/-fM2,2020-11-06T05:03:05.01,1,Hero,12-024H,"When Emet-Selch is chosen by your opponent's Summons or abilities, remove Emet-Selch from the game. If you do so, play Emet-Selch onto the field at the end of the turn. 
<br><em>Damage 5 –</em> When Emet-Selch enters the field, you may pay [I]. When you do so, select 1 of the 2 following actions. ""Choose 1 <strong>dull</strong> Forward. Break it."" 
<br>""Choose 1 Forward of cost 2 or less in your Break Zone. Play it onto the field.""",Forward,Ice,4,XIV,0.07,0.25,0.99,0.2,,Normal,9000,Ascian,
218099,Scholar (XIV),Scholar XIV,https://tcgplayer-cdn.tcgplayer.com/product/218099_200w.jpg,24,2664,https://cpt.tcgcsv.com/_fM2,2020-11-06T05:03:05.01,1,Common,12-026C,"[Dull]: Choose 1 Forward. Until the end of the turn, it loses Haste, First Strike and Brave.",Backup,Ice,2,XIV,0.25,0.49,1.39,,,Foil,,Standard Unit,
218099,Scholar (XIV),Scholar XIV,https://tcgplayer-cdn.tcgplayer.com/product/218099_200w.jpg,24,2664,https://cpt.tcgcsv.com/_fM2,2020-11-06T05:03:05.01,1,Common,12-026C,"[Dull]: Choose 1 Forward. Until the end of the turn, it loses Haste, First Strike and Brave.",Backup,Ice,2,XIV,0.02,0.1,0.79,0.09,,Normal,,Standard Unit,
218100,Bartz,Bartz,https://tcgplayer-cdn.tcgplayer.com/product/218100_200w.jpg,24,2664,https://cpt.tcgcsv.com/0gM2,2020-11-06T05:03:05.01,1,Hero,12-052H,"The Forwards of cost 1 you control gain <strong>Haste.</strong>
<br>When Bartz forms a party and attacks, you may <strong>search</strong> for 1 Forward of cost 1 and play it onto the field.",Forward,Wind,4,V;DFF,0.25,0.45,1.0,0.51,,Normal,8000,Warrior of Light,
218100,Bartz,Bartz,https://tcgplayer-cdn.tcgplayer.com/product/218100_200w.jpg,24,2664,https://cpt.tcgcsv.com/0gM2,2020-11-06T05:03:05.01,1,Hero,12-052H,"The Forwards of cost 1 you control gain <strong>Haste.</strong>
<br>When Bartz forms a party and attacks, you may <strong>search</strong> for 1 Forward of cost 1 and play it onto the field.",Forward,Wind,4,V;DFF,0.43,0.73,2.3,0.77,,Foil,8000,Warrior of Light,
218101,Bartz (Full Art),Bartz Full Art,https://tcgplayer-cdn.tcgplayer.com/product/218101_200w.jpg,24,2664,https://cpt.tcgcsv.com/2gM2,2024-04-08T11:43:11.727,1,Hero,12-052H,"The Forwards of cost 1 you control gain <strong>Haste.</strong>
<br>When Bartz forms a party and attacks, you may <strong>search</strong> for 1 Forward of cost 1 and play it onto the field.",Forward,Wind,4,V;DFF,3.25,3.76,4.29,3.92,,Normal,8000,Warrior of Light,
218101,Bartz (Full Art),Bartz Full Art,https://tcgplayer-cdn.tcgplayer.com/product/218101_200w.jpg,24,2664,https://cpt.tcgcsv.com/2gM2,2024-04-08T11:43:11.727,1,Hero,12-052H,"The Forwards of cost 1 you control gain <strong>Haste.</strong>
<br>When Bartz forms a party and attacks, you may <strong>search</strong> for 1 Forward of cost 1 and play it onto the field.",Forward,Wind,4,V;DFF,7.0,21.98,40.0,16.84,,Foil,8000,Warrior of Light,
218102,Boko,Boko,https://tcgplayer-cdn.tcgplayer.com/product/218102_200w.jpg,24,2664,https://cpt.tcgcsv.com/3gM2,2020-11-06T05:03:05.01,1,Common,12-053C,"The <em>Card Name Bartz</em> you control gains +1000 power and <strong>Haste.</strong>
<br>When a party you control deals damage to your opponent, draw 1 card.",Forward,Wind,1,V,0.02,0.1,0.79,0.09,,Normal,3000,Chocobo,
218102,Boko,Boko,https://tcgplayer-cdn.tcgplayer.com/product/218102_200w.jpg,24,2664,https://cpt.tcgcsv.com/3gM2,2020-11-06T05:03:05.01,1,Common,12-053C,"The <em>Card Name Bartz</em> you control gains +1000 power and <strong>Haste.</strong>
<br>When a party you control deals damage to your opponent, draw 1 card.",Forward,Wind,1,V,0.74,0.99,1.25,0.99,,Foil,3000,Chocobo,
218103,Carbuncle,Carbuncle,https://tcgplayer-cdn.tcgplayer.com/product/218103_200w.jpg,24,2664,https://cpt.tcgcsv.com/5gM2,2020-11-06T05:03:05.01,1,Hero,12-025H,"Select 1 of the 3 following actions. If your opponent has 2 cards or less in their hand, select up to 2 of the 3 following actions instead.
<br>""Choose 1 Forward. Dull it.""
<br>""Choose 1 Ice Forward. It gains +2000 power until the end of the turn.""
<br>""Choose up to 2 Characters opponent controls. Freeze them.""",Summon,Ice,2,IX,0.14,0.25,0.99,0.18,,Normal,,,
218103,Carbuncle,Carbuncle,https://tcgplayer-cdn.tcgplayer.com/product/218103_200w.jpg,24,2664,https://cpt.tcgcsv.com/5gM2,2020-11-06T05:03:05.01,1,Hero,12-025H,"Select 1 of the 3 following actions. If your opponent has 2 cards or less in their hand, select up to 2 of the 3 following actions instead.
<br>""Choose 1 Forward. Dull it.""
<br>""Choose 1 Ice Forward. It gains +2000 power until the end of the turn.""
<br>""Choose up to 2 Characters opponent controls. Freeze them.""",Summon,Ice,2,IX,0.23,0.65,2.99,0.23,,Foil,,,
218104,Galuf,Galuf,https://tcgplayer-cdn.tcgplayer.com/product/218104_200w.jpg,24,2664,https://cpt.tcgcsv.com/6gM2,2020-11-06T05:03:05.01,1,Hero,12-056H,"During each Attack Phase, Galuf cannot be broken.
<br><em>Damage 3 –</em> When Galuf is put from the field into the Break Zone, you may <strong>search</strong> for 1 Earth Forward of cost 2 or less and play it onto the field.
<br><strong>Unfaltering Volition</strong>  [S]: <strong>Activate</strong> Galuf. Until the end of the turn, Galuf gains +10000 power and ""Galuf can attack once more this turn."" You can only use this ability if Galuf has received damage this turn.",Forward,Earth,3,V,0.23,0.3,1.99,0.29,,Foil,7000,Dawn Warrior,
218104,Galuf,Galuf,https://tcgplayer-cdn.tcgplayer.com/product/218104_200w.jpg,24,2664,https://cpt.tcgcsv.com/6gM2,2020-11-06T05:03:05.01,1,Hero,12-056H,"During each Attack Phase, Galuf cannot be broken.
<br><em>Damage 3 –</em> When Galuf is put from the field into the Break Zone, you may <strong>search</strong> for 1 Earth Forward of cost 2 or less and play it onto the field.
<br><strong>Unfaltering Volition</strong>  [S]: <strong>Activate</strong> Galuf. Until the end of the turn, Galuf gains +10000 power and ""Galuf can attack once more this turn."" You can only use this ability if Galuf has received damage this turn.",Forward,Earth,3,V,0.07,0.25,0.99,0.15,,Normal,7000,Dawn Warrior,
218105,Gunbreaker,Gunbreaker,https://tcgplayer-cdn.tcgplayer.com/product/218105_200w.jpg,24,2664,https://cpt.tcgcsv.com/7gM2,2020-11-06T05:03:05.01,1,Common,12-027C,"When Gunbreaker forms a party and attacks, your opponent discards 1 card from their hand.",Forward,Ice,4,XIV,0.45,0.51,1.0,0.51,,Foil,8000,Standard Unit,
218105,Gunbreaker,Gunbreaker,https://tcgplayer-cdn.tcgplayer.com/product/218105_200w.jpg,24,2664,https://cpt.tcgcsv.com/7gM2,2020-11-06T05:03:05.01,1,Common,12-027C,"When Gunbreaker forms a party and attacks, your opponent discards 1 card from their hand.",Forward,Ice,4,XIV,0.02,0.1,1.04,0.09,,Normal,8000,Standard Unit,
