productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,extGTIN,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extCardType,extElement,extCost,extPower,extJob,extCategory
206224,Two-Player Starter Set: Cloud vs Sephiroth,Two Player Starter Set Cloud vs Sephiroth,https://tcgplayer-cdn.tcgplayer.com/product/206224_200w.jpg,24,2589,https://cpt.tcgcsv.com/vvG2,2022-06-21T16:01:35.037,1,None,"Straight out of the new FINAL FANTASY VII REMAKE comes a brand-new FINAL FANTASY TCG Two Player Starter Set where you and a friend can face off as two of the most iconic video game characters of all time, Cloud Strife and Sephiroth!
<br><br>
This set includes powerful new cards exclusive to this Starter Set that can be enjoyed by beginners as well as seasoned players. It also features Full Art Variants of FINAL FANTASY VII REMAKE Cloud and Sephiroth which collectors will want to get their hands on!
<br><br>
<strong>Contents:</strong>
<br>
Two 50 card decks [Including one (1) Full Art Variant Cloud, and one (1) Full Art Variant Sephiroth]
One set of rules
With one of our Two Player Starter Sets, you’ll have everything you need for two players to jump right into the FINAL FANTASY TRADING CARD GAME.",662248828299,71.68,79.99,85.0,71.68,,Normal,,,,,,,
206225,Final Fantasy TCG Gift Set,Final Fantasy TCG Gift Set,https://tcgplayer-cdn.tcgplayer.com/product/206225_200w.jpg,24,2589,https://cpt.tcgcsv.com/wvG2,2021-03-02T15:09:52.677,1,None,"This Tin Gift Set includes 3 highly sought-after promo cards. The first two are Y'shtola and Hraesvelgr of FINAL FANTASY XIV, who were previously only available as part of promotions in China. The third is an exclusive Alternate Art Tifa as depicted in her iconic FINAL FANTASY VII: ADVENT CHILDREN scene! Collectors will love that this awesome art is also displayed on the tin's cover.
<br><br>
In addition to the above items, this set will include three boosters from FFTCG's inaugural year, and one from the latest expansion, OPUS X: Ancient Champions. Each set expands FFTCG's roster with fan favorite characters spanning over 30 years of the FINAL FANTASY franchise!
<br><br>
<strong>FFTCG Tin Gift Sets include:</strong>
<br>• Three OPUS I Boosters (3)
<br>• Three OPUS II Boosters (3)
<br>• Three OPUS III Boosters (3)
<br>• One OPUS X Booster (1)
<br>• One PR-063 / 8-144S Tifa Full Art Card (1)
<br>• One PR-047 / 5-068L Y’shtola Full Art Card (1)
<br>• One PR-048 / 6-127L Hraesvelgr Full Art Card (1)
<br><br>
With this Tin Gift set you’ll have a great collector piece with unique cards and a great way to jump into the FINAL FANTASY TRADING CARD GAME.",662248827711,187.99,194.0,213.99,198.66,,Normal,,,,,,,
206226,Opus XI Booster Box,Opus XI Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/206226_200w.jpg,24,2589,https://cpt.tcgcsv.com/xvG2,2020-03-20T20:45:35.877,1,None,Each Opus XI Booster Box comes with 36 packs of 12 random cards <em>(1 of which is premium foiled)</em>,662248828503,329.99,338.0,399.99,335.92,,Normal,,,,,,,
206227,Opus XI Booster Pack,Opus XI Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/206227_200w.jpg,24,2589,https://cpt.tcgcsv.com/zvG2,2020-03-20T20:45:44.153,0,None,Each booster pack contains 12 random cards <em>(1 of which is premium foiled)</em>,4988601347983,,,,,,,,,,,,,
208974,Barret EX,Barret EX,https://tcgplayer-cdn.tcgplayer.com/product/208974_200w.jpg,24,2589,https://cpt.tcgcsv.com/vCH2,2020-03-25T18:21:14.4,1,Starter,"<strong>EX BURST</strong> When Barret enters the field, choose 1 Forward opponent controls. Deal it 1000 damage for each <em>Category VII</em> Character you control. If Barret results from an EX Burst, deal it 2000 damage for each <em>Category VII</em> Character you control instead.",,0.25,0.26,1.0,0.26,,Normal,11-131S,Forward,Fire,3,7000,AVALANCHE Operative,VII
208974,Barret EX,Barret EX,https://tcgplayer-cdn.tcgplayer.com/product/208974_200w.jpg,24,2589,https://cpt.tcgcsv.com/vCH2,2020-03-25T18:21:14.4,1,Starter,"<strong>EX BURST</strong> When Barret enters the field, choose 1 Forward opponent controls. Deal it 1000 damage for each <em>Category VII</em> Character you control. If Barret results from an EX Burst, deal it 2000 damage for each <em>Category VII</em> Character you control instead.",,1.0,1.29,3.0,,,Foil,11-131S,Forward,Fire,3,7000,AVALANCHE Operative,VII
208975,Red XIII,Red XIII,https://tcgplayer-cdn.tcgplayer.com/product/208975_200w.jpg,24,2589,https://cpt.tcgcsv.com/wCH2,2020-03-25T18:21:06.463,1,Starter,"If you control a <em>Category VII</em> Forward other than Red XIII, Red XIII gains +1000 power, Haste and First Strike.",,0.75,1.25,4.7,1.0,,Foil,11-132S,Forward,Fire,4,8000,Warrior,VII
208975,Red XIII,Red XIII,https://tcgplayer-cdn.tcgplayer.com/product/208975_200w.jpg,24,2589,https://cpt.tcgcsv.com/wCH2,2020-03-25T18:21:06.463,1,Starter,"If you control a <em>Category VII</em> Forward other than Red XIII, Red XIII gains +1000 power, Haste and First Strike.",,0.25,0.5,1.7,0.49,,Normal,11-132S,Forward,Fire,4,8000,Warrior,VII
208976,Cait Sith,Cait Sith,https://tcgplayer-cdn.tcgplayer.com/product/208976_200w.jpg,24,2589,https://cpt.tcgcsv.com/xCH2,2020-03-25T18:20:58.777,1,Starter,"When Cait Sith enters the field, your opponent reveals their hand. You may select 1 card in their hand other than a Backup. If you do so, remove it from the game and your opponent draws 1 card.",,25.13,25.13,25.13,25.37,,Foil,11-133S,Backup,Ice,2,,Spy,VII;DFF
208976,Cait Sith,Cait Sith,https://tcgplayer-cdn.tcgplayer.com/product/208976_200w.jpg,24,2589,https://cpt.tcgcsv.com/xCH2,2020-03-25T18:20:58.777,1,Starter,"When Cait Sith enters the field, your opponent reveals their hand. You may select 1 card in their hand other than a Backup. If you do so, remove it from the game and your opponent draws 1 card.",,1.01,2.11,8.49,2.25,,Normal,11-133S,Backup,Ice,2,,Spy,VII;DFF
