productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,extGTIN,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extCardType,extElement,extCost,extPower,extJob,extCategory
198835,Opus X Booster Box,Opus X Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/198835_200w.jpg,24,2530,https://cpt.tcgcsv.com/KxC2,2019-11-04T16:25:24.13,1,None,Each Opus X Booster Box comes with 36 packs of 12 random cards <em>(1 of which is premium foiled)</em>,662248827544,129.99,143.5,168.0,149.99,,Normal,,,,,,,
198836,Opus X Booster Pack,Opus X Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/198836_200w.jpg,24,2530,https://cpt.tcgcsv.com/LxC2,2019-11-04T18:20:29.177,1,None,Each Opus X Booster Pack contains 12 random cards <em>(1 of which is premium foiled)</em>,662248827537,8.49,8.5,8.5,8.49,,Normal,,,,,,,
198837,Two-Player Starter Set: Wraith vs Knight 2-Player,Two Player Starter Set Wraith vs Knight 2 Player,https://tcgplayer-cdn.tcgplayer.com/product/198837_200w.jpg,24,2530,https://cpt.tcgcsv.com/MxC2,2022-06-21T16:01:18.243,1,None,"From the FINAL FANTASY franchise comes the second 2-player starter deck! This deck includes powerful new cards exclusive to this starter that can be enjoyed by beginners as well as seasoned players.

Each Starter Set includes one (1) Full Art version of each of the five different Legend cards in these decks. This is the first time Full Art versions of these five cards have ever been available!
<br><br>
Begin your FINAL FANTASY TRADING CARD GAME adventure with one of our STARTER SETS! Starter sets include:
<br>• Two 50 card decks
<br>• One set of rules
<br><br>
With one of our Two Player Starter Sets, you’ll have everything you need for two players to jump right into the FINAL FANTASY TRADING CARD GAME.",4988601345088,39.99,39.99,40.0,39.37,,Normal,,,,,,,
198838,Lightning (Starter),Lightning Starter,https://tcgplayer-cdn.tcgplayer.com/product/198838_200w.jpg,24,2530,https://cpt.tcgcsv.com/NxC2,2019-11-08T12:20:44.393,1,Starter,"During this turn, if you attacked with 2 or more Forwards you controlled, the cost for playing Lightning on to the field is reduced by 3.
<br><strong>Crushing Blow<strong> [S][Dull]: Choose up to 2 Forwards. <strong>Dull</strong> them. Draw 1 card.",,9.0,9.5,10.0,7.49,,Foil,10-137S,Forward,Lightning,4,8000,Ravager,XIII;DFF
198838,Lightning (Starter),Lightning Starter,https://tcgplayer-cdn.tcgplayer.com/product/198838_200w.jpg,24,2530,https://cpt.tcgcsv.com/NxC2,2019-11-08T12:20:44.393,1,Starter,"During this turn, if you attacked with 2 or more Forwards you controlled, the cost for playing Lightning on to the field is reduced by 3.
<br><strong>Crushing Blow<strong> [S][Dull]: Choose up to 2 Forwards. <strong>Dull</strong> them. Draw 1 card.",,0.35,0.42,15.57,0.42,,Normal,10-137S,Forward,Lightning,4,8000,Ravager,XIII;DFF
198839,Ramza (Starter),Ramza Starter,https://tcgplayer-cdn.tcgplayer.com/product/198839_200w.jpg,24,2530,https://cpt.tcgcsv.com/PxC2,2019-11-08T12:20:38.023,1,Starter,"When Ramza enters the field, reveal the top 3 cards of your deck. Add 1 Forward, 1 Backup, and 1 Summon among them to your hand, and put the rest of the cards into the Break Zone.
<br>[P][(1)], put Ramza into the Break Zone: Choose 1 Monster. Break it.",,2.39,2.43,2.46,2.44,,Foil,10-138S,Backup,Lightning,5,,Knight,FFT;DFF
198839,Ramza (Starter),Ramza Starter,https://tcgplayer-cdn.tcgplayer.com/product/198839_200w.jpg,24,2530,https://cpt.tcgcsv.com/PxC2,2019-11-08T12:20:38.023,1,Starter,"When Ramza enters the field, reveal the top 3 cards of your deck. Add 1 Forward, 1 Backup, and 1 Summon among them to your hand, and put the rest of the cards into the Break Zone.
<br>[P][(1)], put Ramza into the Break Zone: Choose 1 Monster. Break it.",,0.3,0.6,2.5,0.63,,Normal,10-138S,Backup,Lightning,5,,Knight,FFT;DFF
198840,Kain (Starter),Kain Starter,https://tcgplayer-cdn.tcgplayer.com/product/198840_200w.jpg,24,2530,https://cpt.tcgcsv.com/QxC2,2019-11-08T12:21:04.123,1,Starter,"<strong>Haste</strong>
<br>Kain doesn't receive any damage except battle damage.
<br><strong>Gungnir</strong> [S]: Until the end of turn, Kain gains +5000 power and <strong>First Strike</strong>.",,1.01,1.8,4.99,0.7,,Foil,10-134S,Forward,Wind,3,5000,Holy Dragoon,IV;DFF
198840,Kain (Starter),Kain Starter,https://tcgplayer-cdn.tcgplayer.com/product/198840_200w.jpg,24,2530,https://cpt.tcgcsv.com/QxC2,2019-11-08T12:21:04.123,1,Starter,"<strong>Haste</strong>
<br>Kain doesn't receive any damage except battle damage.
<br><strong>Gungnir</strong> [S]: Until the end of turn, Kain gains +5000 power and <strong>First Strike</strong>.",,0.09,0.2,2.78,0.18,,Normal,10-134S,Forward,Wind,3,5000,Holy Dragoon,IV;DFF
198841,Vaan (Starter),Vaan Starter,https://tcgplayer-cdn.tcgplayer.com/product/198841_200w.jpg,24,2530,https://cpt.tcgcsv.com/RxC2,2019-11-08T12:21:17.48,1,Starter,"When Vaan enters the field, reveal the top 5 cards of your deck. Play 1 Forward of cost 3 or less among them onto the field. Then, shuffle the other cards revealed and return them to the bottom of your deck. If you have received 5 points of damage or more, perform this action twice instead.",,0.24,0.27,2.78,0.24,,Normal,10-133S,Forward,Wind,6,8000,Sky Pirate,XII;DFF
198841,Vaan (Starter),Vaan Starter,https://tcgplayer-cdn.tcgplayer.com/product/198841_200w.jpg,24,2530,https://cpt.tcgcsv.com/RxC2,2019-11-08T12:21:17.48,1,Starter,"When Vaan enters the field, reveal the top 5 cards of your deck. Play 1 Forward of cost 3 or less among them onto the field. Then, shuffle the other cards revealed and return them to the bottom of your deck. If you have received 5 points of damage or more, perform this action twice instead.",,2.5,2.95,4.0,2.83,,Foil,10-133S,Forward,Wind,6,8000,Sky Pirate,XII;DFF
199101,Ace (Starter),Ace Starter,https://tcgplayer-cdn.tcgplayer.com/product/199101_200w.jpg,24,2530,https://cpt.tcgcsv.com/2GC2,2019-11-08T12:21:30.123,1,Starter,"When Ace enters the field, select 1 of the 2 following actions.
<br>""Choose 1 Forward opponent controls. Deal it 5000 damage.""
<br>""You may pay [R][R][R]. When you do so, choose 1 Forward opponent controls. Deal it 9000 damage.""",,0.2,0.28,0.95,0.22,,Normal,10-131S,Backup,Fire,2,,Class Zero Cadet,Type-0;DFF
199101,Ace (Starter),Ace Starter,https://tcgplayer-cdn.tcgplayer.com/product/199101_200w.jpg,24,2530,https://cpt.tcgcsv.com/2GC2,2019-11-08T12:21:30.123,1,Starter,"When Ace enters the field, select 1 of the 2 following actions.
<br>""Choose 1 Forward opponent controls. Deal it 5000 damage.""
<br>""You may pay [R][R][R]. When you do so, choose 1 Forward opponent controls. Deal it 9000 damage.""",,0.35,0.55,3.92,0.4,,Foil,10-131S,Backup,Fire,2,,Class Zero Cadet,Type-0;DFF
