productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,extGTIN,extSKU,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extCardType,extElement,extCost,extPower,extJob,extCategory
282030,Two-Player Starter Set Display: Noctis vs Ardyn,Two Player Starter Set Display Noctis vs Ardyn,https://tcgplayer-cdn.tcgplayer.com/product/282030_200w.jpg,24,3153,https://cpt.tcgcsv.com/DQg3,2022-10-28T04:03:10.49,1,None,"Each display contains 6 Two-Player Starter Sets.
<br>
<br>Featuring two 50-card preconstructed decks created around the theme of FINAL FANTASY XV, “TWO PLAYER STARTER SET Noctis VS Ardyn” is a starter set that allows two players to jump into a match straight out of the box. The Wind/Earth Noctis deck and the Fire/Lightning Ardyn deck are both designed so that two players can use them to start a match right away, and so that they can even be enjoyed by beginners of FFTCG. Additionally, each deck includes five different kinds of Starter cards, each with three copies, for a total of 30 Starter cards across the two decks.",662248839141,SQE839158,,,,,,,,,,,,,
282031,Two-Player Starter Set: Noctis vs Ardyn,Two Player Starter Set Noctis vs Ardyn,https://tcgplayer-cdn.tcgplayer.com/product/282031_200w.jpg,24,3153,https://cpt.tcgcsv.com/FQg3,2022-10-28T04:03:10.49,1,None,"Featuring two 50-card preconstructed decks created around the theme of FINAL FANTASY XV, “TWO PLAYER STARTER SET Noctis VS Ardyn” is a starter set that allows two players to jump into a match straight out of the box. The Wind/Earth Noctis deck and the Fire/Lightning Ardyn deck are both designed so that two players can use them to start a match right away, and so that they can even be enjoyed by beginners of FFTCG. Additionally, each deck includes five different kinds of Starter cards, each with three copies, for a total of 30 Starter cards across the two decks.",662248839141,SQE839158,20.0,24.8,29.0,24.7,,Normal,,,,,,,
287165,Resurgence of Power Booster Box,Resurgence of Power Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/287165_200w.jpg,24,3153,https://cpt.tcgcsv.com/kTj3,2022-12-09T05:03:08.377,1,None,"<br>Each individual Booster pack includes: 
<br>• 12 cards total 
<br>• 1 premium foiled card
<br>
<br>36 packs per Booster display.",,,109.0,125.99,140.0,120.08,,Normal,,,,,,,
287166,Resurgence of Power Booster Box Case,Resurgence of Power Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/287166_200w.jpg,24,3153,https://cpt.tcgcsv.com/lTj3,2022-12-09T05:03:08.377,1,None,Each sealed case contains 6 booster boxes of 36 booster packs.,,,699.99,949.69,949.99,561.0,,Normal,,,,,,,
287168,Resurgence of Power Booster Pack,Resurgence of Power Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/287168_200w.jpg,24,3153,https://cpt.tcgcsv.com/nTj3,2022-12-09T05:03:08.377,1,None,Each booster pack contains 12 random cards.,,,4.99,4.99,4.99,3.69,,Normal,,,,,,,
450634,Ignis,Ignis,https://tcgplayer-cdn.tcgplayer.com/product/450634_200w.jpg,24,3153,https://cpt.tcgcsv.com/JgD5,2022-12-12T14:41:53.05,1,Starter,"The <em>Card Name Noctis, Card Name Gladiolus</em> and <em>Card Name Prompto</em> yu control gain ""This Character cannot be chosen by your opponent's abilities.""
<br>When Ignas or a <em>Card Name Noctis</em> you control attacks, activate all the Characters you control.",,,1.25,2.57,6.0,1.43,,Foil,18-133S,Forward,Wind,4,8000,Retainer,XV
450634,Ignis,Ignis,https://tcgplayer-cdn.tcgplayer.com/product/450634_200w.jpg,24,3153,https://cpt.tcgcsv.com/JgD5,2022-12-12T14:41:53.05,1,Starter,"The <em>Card Name Noctis, Card Name Gladiolus</em> and <em>Card Name Prompto</em> yu control gain ""This Character cannot be chosen by your opponent's abilities.""
<br>When Ignas or a <em>Card Name Noctis</em> you control attacks, activate all the Characters you control.",,,0.99,1.0,1.5,0.89,,Normal,18-133S,Forward,Wind,4,8000,Retainer,XV
450635,Prompto,Prompto,https://tcgplayer-cdn.tcgplayer.com/product/450635_200w.jpg,24,3153,https://cpt.tcgcsv.com/KgD5,2022-12-12T14:41:43.97,1,Starter,"If you control a <em>Card Name Noctis</em>, Prompto gains +3000 power and Haste.
<br>When Prompto attacks, if you control a <em>Card Name Ignis</em> and <em>Card Name Gladiolus</em>, draw 2 cards.
<br><em>Damage 3</em> — When Prompto enters the field, you may <strong>search</strong> for 1 <em>Card Name Noctis, Card Name Ignis or Card Name Gladiolus</em> and add it to your hand.",,,0.9,1.0,1.5,1.02,,Normal,18-134S,Forward,Wind,2,5000,Retainer,XV
450635,Prompto,Prompto,https://tcgplayer-cdn.tcgplayer.com/product/450635_200w.jpg,24,3153,https://cpt.tcgcsv.com/KgD5,2022-12-12T14:41:43.97,1,Starter,"If you control a <em>Card Name Noctis</em>, Prompto gains +3000 power and Haste.
<br>When Prompto attacks, if you control a <em>Card Name Ignis</em> and <em>Card Name Gladiolus</em>, draw 2 cards.
<br><em>Damage 3</em> — When Prompto enters the field, you may <strong>search</strong> for 1 <em>Card Name Noctis, Card Name Ignis or Card Name Gladiolus</em> and add it to your hand.",,,0.75,1.5,4.22,1.27,,Foil,18-134S,Forward,Wind,2,5000,Retainer,XV
450636,Gladiolus,Gladiolus,https://tcgplayer-cdn.tcgplayer.com/product/450636_200w.jpg,24,3153,https://cpt.tcgcsv.com/LgD5,2022-12-12T14:41:34.307,1,Starter,"If you control a <em>Card Name Noctis</em>, the cost required to cast Gladiolus is reduced by 3.
<br>If Gladiolus deals damage to a Forward, the damage increases by 2000 instead.
<br><em>Damage 3</em> — Gladiolus gains +1000 power and <strong>Brave</strong>",,,2.31,3.99,6.0,3.14,,Foil,18-135S,Forward,Earth,5,9000,Retainer,XV
